I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-3.253725008e-04,1.039618975e-03
-3.460871230e-04,8.713909192e-04
-2.388875000e-04,6.112666451e-04
-9.650528955e-05,3.155373270e-04
1.010621272e-04,5.578329728e-05
3.215229081e-04,-3.134915023e-04
4.716232652e-04,-5.483822897e-04
6.517133443e-04,-7.044824306e-04
7.054697489e-04,-8.436464122e-04
7.066422259e-04,-9.251141455e-04
7.334563415e-04,-8.678973536e-04
7.196196821e-04,-7.247176836e-04
6.758503150e-04,-5.225696950e-04
6.045547780e-04,-2.812471066e-04
5.492746714e-04,-9.963336925e-05
4.865136871e-04,1.428996038e-04
4.679967824e-04,3.353026113e-04
3.565393854e-04,5.268844543e-04
3.179533815e-04,6.660673534e-04
3.925194032e-04,7.689522463e-04
4.918537452e-04,7.740834262e-04
6.553730345e-04,6.420632708e-04
8.244602359e-04,5.093121435e-04
1.035508234e-03,1.770236704e-04
1.203551190e-03,-1.322479948e-04
1.358222566e-03,-3.442643792e-04
1.399300643e-03,-3.761717526e-04
1.368708094e-03,-1.127580181e-04
1.276180497e-03,3.415492829e-04
1.040753443e-03,8.548249025e-04
8.424597327e-04,1.262552803e-03
6.359827239e-04,1.499095350e-03
3.764518187e-04,1.273636357e-03
2.310411946e-04,6.945523201e-04
1.158291343e-04,8.085065201e-05
-2.895016405e-05,-4.808271478e-04
-1.319489529e-04,-7.024366059e-04
-8.488535241e-05,-4.527076380e-04
-3.246747292e-05,1.178892053e-04
1.182404594e-05,8.719842299e-04
1.483298402e-04,1.489037066e-03
8.308160614e-05,1.681402093e-03
3.977740107e-06,1.475741621e-03
-1.719447027e-04,8.351118304e-04
-4.412728304e-04,1.114052066e-05
-5.990723730e-04,-6.157142925e-04
-7.177779917e-04,-9.120227187e-04
-7.233743672e-04,-7.744394243e-04
-6.247330457e-04,-2.460265532e-04
-4.382824118e-04,4.728289496e-04
-2.804306860e-04,1.088467310e-03
-2.176317503e-04,1.221161452e-03
-2.326977992e-04,8.454881026e-04
-3.821621067e-04,2.492638014e-04
-5.961483694e-04,-4.658370453e-04
-6.191699067e-04,-1.137818792e-03
-6.817789399e-04,-1.471426804e-03
-6.795480149e-04,-1.370720682e-03
-5.049261381e-04,-9.450075449e-04
-3.572608694e-04,-3.813409130e-04
-8.122089639e-05,1.182831838e-04
1.072375962e-04,5.519897677e-04
2.008996089e-04,7.206450100e-04
3.805244924e-04,6.447593914e-04
5.038818927e-04,5.731838173e-04
4.755060654e-04,3.890780499e-04
4.560208472e-04,2.627444628e-04
3.644236422e-04,2.580594446e-04
9.039153520e-05,2.044881257e-04
-1.738623687e-04,2.340885840e-04
-4.538800858e-04,2.002303227e-04
-5.956499954e-04,9.498160216e-05
-4.694065719e-04,-1.510259608e-04
-2.365426335e-04,-5.195033154e-04
6.991424016e-05,-7.585189887e-04
2.831457823e-04,-9.679341456e-04
4.225138400e-04,-1.003211713e-03
3.332567867e-04,-8.111267234e-04
6.595548621e-05,-3.892631794e-04
-2.227676887e-04,1.325233025e-04
-4.974501207e-04,5.825205590e-04
-5.797484773e-04,7.324310718e-04
-5.768482806e-04,6.045927876e-04
-4.019083863e-04,3.938199952e-04
-1.299221040e-04,-7.616565563e-05
3.346902668e-05,-4.906433169e-04
6.229103019e-05,-5.516147939e-04
-7.034619193e-05,-3.666925768e-04
-3.350795014e-04,-7.438089233e-05
-7.436997257e-04,3.450475924e-04
-1.038223389e-03,7.066042162e-04
-1.190516748e-03,8.257608279e-04
-1.245872816e-03,7.911715657e-04
-1.004327205e-03,4.496412876e-04
-8.113118238e-04,4.291497316e-05
-6.329116295e-04,-3.543796192e-04
-5.014468334e-04,-6.700261147e-04
-6.057272549e-04,-8.196992567e-04
-6.856475375e-04,-9.320870158e-04
-8.109225892e-04,-9.205383249e-04
-8.650113014e-04,-8.861389360e-04
-8.122042054e-04,-8.249063976e-04
-6.795669906e-04,-7.743444876e-04
-3.584712686e-04,-7.495002355e-04
-5.440675159e-05,-6.776872906e-04
3.022228193e-04,-5.929538165e-04
5.467256415e-04,-5.293195136e-04
6.059123552e-04,-4.608150339e-04
7.275419775e-04,-4.985845881e-04
7.025505765e-04,-5.528251640e-04
6.834735395e-04,-6.201002398e-04
7.209012983e-04,-7.098937058e-04
6.639123312e-04,-7.622973644e-04
8.161107544e-04,-8.122991421e-04
9.463271708e-04,-7.276178803e-04
9.802851127e-04,-6.897961721e-04
1.112471335e-03,-6.938118604e-04
1.140196924e-03,-6.560612819e-04
1.181664178e-03,-6.437720731e-04
1.226833789e-03,-6.243200623e-04
1.254573581e-03,-5.731316051e-04
1.312777633e-03,-5.084766890e-04
1.347922254e-03,-4.739823926e-04
1.347770332e-03,-3.772872151e-04
1.336914604e-03,-3.247981367e-04
1.325142803e-03,-2.629865194e-04
1.354373060e-03,-1.736772538e-04
1.455026912e-03,-1.717785635e-04
1.502185478e-03,-1.125539056e-04
1.587574021e-03,-1.163892466e-05
1.617250382e-03,8.944219007e-05
1.388274017e-03,1.406164374e-04
1.022976940e-03,1.983886032e-04
4.962776438e-04,2.652744297e-04
-1.149177697e-04,3.626721154e-04
-6.301063113e-04,4.732751404e-04
-9.148280369e-04,6.303104456e-04
-8.945026202e-04,8.858208894e-04
-7.315197145e-04,1.115319435e-03
-3.431678924e-04,1.405452378e-03
1.221802268e-05,1.565686893e-03
1.762784377e-04,1.438722014e-03
1.888667030e-04,1.177985454e-03
1.307243019e-05,7.142274408e-04
-2.576892148e-04,1.786423090e-04
-5.651713582e-04,-2.473318891e-04
-7.353882538e-04,-6.992753479e-04
-8.420847589e-04,-8.801106014e-04
-8.368585841e-04,-9.136033477e-04
-8.037788211e-04,-9.375315276e-04
-7.518450730e-04,-8.155696560e-04
-6.906695198e-04,-8.190821973e-04
-6.996313459e-04,-8.664638153e-04
-6.663284148e-04,-9.457148262e-04
-7.030537236e-04,-1.041963813e-03
-7.088351995e-04,-1.169783063e-03
-6.374304648e-04,-1.279322896e-03
-5.613217945e-04,-1.254763454e-03
-5.302118952e-04,-1.309132203e-03
-5.499961553e-04,-1.294925343e-03
-4.928552662e-04,-1.283841673e-03
-3.885558981e-04,-1.416293788e-03
-2.929619804e-04,-1.406420721e-03
-2.071272902e-04,-1.426038798e-03
-7.012309652e-05,-1.531472662e-03
1.023105142e-04,-1.453261124e-03
6.471185043e-05,-1.319062314e-03
