I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-8.888682933e-04,1.817656303e-04
-9.469442302e-04,7.060251664e-05
-9.557920857e-04,-7.969720173e-05
-8.741249912e-04,-2.291092824e-04
-8.879616507e-04,-2.809290891e-04
-8.629845106e-04,-4.064842069e-04
-7.728967466e-04,-5.288021057e-04
-6.121780025e-04,-6.331157056e-04
-5.896216608e-04,-6.960427854e-04
-5.256028380e-04,-7.614571950e-04
-3.887790081e-04,-8.151613874e-04
-3.507009242e-04,-8.305027732e-04
-2.087269240e-04,-8.964392473e-04
-1.037392722e-04,-9.416042012e-04
3.761765038e-05,-9.441911243e-04
2.040229447e-04,-8.921814733e-04
2.060687693e-04,-8.382351371e-04
3.109425015e-04,-8.747942629e-04
4.888585536e-04,-8.385531837e-04
5.474518985e-04,-7.410795661e-04
6.030880613e-04,-7.149726734e-04
7.662940770e-04,-5.884871935e-04
8.084495785e-04,-4.938236088e-04
8.236200665e-04,-4.353631812e-04
9.259495419e-04,-2.885902650e-04
9.034501854e-04,-1.739525615e-04
9.027239284e-04,-5.336722097e-05
9.293149342e-04,6.100942119e-05
9.391691419e-04,1.719447027e-04
9.318449302e-04,2.646431385e-04
8.249063976e-04,4.087911220e-04
7.486078539e-04,5.248006200e-04
7.011170383e-04,5.629973602e-04
6.051481469e-04,6.865588948e-04
5.439156084e-04,7.720945287e-04
4.477615876e-04,8.050272008e-04
2.994317329e-04,8.695491706e-04
2.360062499e-04,9.010150679e-04
1.370991231e-04,8.943364955e-04
-3.099599417e-05,9.038773715e-04
-1.709431381e-04,9.291298338e-04
-2.080006816e-04,9.201490902e-04
-2.707616368e-04,8.045620052e-04
-4.579147790e-04,7.580917445e-04
-5.430422025e-04,7.471411373e-04
-6.278753863e-04,7.029587869e-04
-6.942390464e-04,6.270352169e-04
-7.392568514e-04,5.252136034e-04
-8.232687833e-04,3.898612631e-04
-8.804286481e-04,2.646241337e-04
-9.268419235e-04,1.922890806e-04
-9.087854414e-04,2.874605525e-05
-9.290918824e-04,-4.564907795e-05
-9.289447335e-04,-1.814286225e-04
-8.707026136e-04,-3.559222969e-04
-8.566808538e-04,-3.832775692e-04
-7.840325125e-04,-4.872019636e-04
-7.159552188e-04,-6.027889904e-04
-6.302155089e-04,-6.784325233e-04
-5.103706499e-04,-7.600474055e-04
-4.360846942e-04,-8.093229844e-04
-3.458640422e-04,-8.399297367e-04
-2.289194235e-04,-8.769160486e-04
-1.218527032e-04,-9.133422864e-04
-1.372272891e-05,-8.725823136e-04
1.550416782e-04,-8.848715224e-04
2.379191719e-04,-9.015894611e-04
3.355256922e-04,-8.200125303e-04
5.087899626e-04,-7.627435261e-04
5.578092532e-04,-7.507486152e-04
6.401456194e-04,-6.571435370e-04
7.351461682e-04,-5.375407636e-04
8.001191309e-04,-4.825169744e-04
8.504721918e-04,-3.698871005e-04
8.850234444e-04,-2.798895584e-04
9.419032140e-04,-1.545242849e-04
9.377023671e-04,-1.465308287e-05
9.497305728e-04,3.897520946e-05
9.027618798e-04,1.741424203e-04
8.565716562e-04,3.095089924e-04
8.760569035e-04,4.007739190e-04
8.191201487e-04,4.972839961e-04
6.723330007e-04,5.843623076e-04
5.660637398e-04,6.755132927e-04
4.885595408e-04,8.085207664e-04
4.069873830e-04,9.032080998e-04
3.179723863e-04,8.336830651e-04
1.965278934e-04,8.887780714e-04
1.121646783e-04,9.282564279e-04
-4.890531636e-05,8.872353937e-04
-1.444470254e-04,9.546054062e-04
-1.983126567e-04,9.053061367e-04
-3.509572416e-04,8.574071107e-04
-4.438408068e-04,8.254807326e-04
-5.492936471e-04,7.541140076e-04
-6.238928763e-04,6.852772785e-04
-7.109189755e-04,5.791551666e-04
-7.731530350e-04,5.134797539e-04
-8.144731401e-04,3.504398628e-04
-8.787530242e-04,2.308750554e-04
-8.913602796e-04,1.668894547e-04
-9.725859272e-04,-8.733940149e-07
-9.259495419e-04,-7.211196498e-05
-8.905628347e-04,-1.495402394e-04
-9.298703517e-04,-3.099409514e-04
-8.454311755e-04,-4.386716464e-04
-7.556566852e-04,-5.180697772e-04
-6.733773043e-04,-5.926927552e-04
-6.593934959e-04,-7.146926364e-04
-5.239652237e-04,-8.100112318e-04
-4.180139804e-04,-8.668720257e-04
-3.472595708e-04,-9.241837543e-04
-1.706440962e-04,-9.057903080e-04
-1.118086730e-04,-8.944314322e-04
1.043326120e-05,-9.203341906e-04
1.578137599e-04,-8.959361003e-04
2.502511197e-04,-8.868793957e-04
3.617417533e-04,-8.743481012e-04
5.233149277e-04,-8.120902930e-04
5.593328970e-04,-7.474211743e-04
6.551499246e-04,-6.765717990e-04
7.902602083e-04,-5.610607332e-04
7.395179127e-04,-5.011145840e-04
8.352447185e-04,-3.995302832e-04
8.782736259e-04,-2.320617350e-04
8.863810217e-04,-1.891847351e-04
9.260397055e-04,-4.901449211e-05
9.541212348e-04,1.342558535e-04
9.664294776e-04,1.556967181e-04
8.554751985e-04,3.011453082e-04
8.368776180e-04,4.693733354e-04
7.790674572e-04,4.987127031e-04
6.801983109e-04,6.351615302e-04
6.090546958e-04,7.218506653e-04
5.101854913e-04,7.476632600e-04
4.464799713e-04,8.482032572e-04
3.479668230e-04,8.721551276e-04
2.295887098e-04,8.726535016e-04
1.031459324e-04,8.210900705e-04
-1.253130540e-05,9.189766133e-04
-1.334014378e-04,9.807645110e-04
