I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
8.517537499e-04,-2.836631902e-04
9.277343052e-04,-2.480723779e-04
9.161143680e-04,-1.209223483e-04
9.205952520e-04,1.826057996e-05
9.946770733e-04,1.331925887e-04
9.063503821e-04,2.637127764e-04
8.482412086e-04,4.022786452e-04
8.046000148e-04,4.721406731e-04
7.597293588e-04,5.515055964e-04
6.663854001e-04,6.885097828e-04
5.760508357e-04,7.251448696e-04
4.726058396e-04,8.339773631e-04
3.932646359e-04,8.957889513e-04
2.690290858e-04,8.794223540e-04
8.068452007e-05,9.239938809e-04
3.155610466e-05,9.219528292e-04
-5.853638504e-05,9.046748164e-04
-1.537600619e-04,8.515306981e-04
-3.025360929e-04,8.586744661e-04
-4.291877267e-04,8.513645735e-04
-4.741105367e-04,7.900750497e-04
-6.278373767e-04,7.237872924e-04
-6.939020241e-04,5.951088388e-04
-7.042071666e-04,5.500151310e-04
-8.314331062e-04,4.527835990e-04
-8.696441073e-04,2.896345395e-04
-8.622250170e-04,2.290143457e-04
-9.388558683e-04,1.188765164e-04
-9.345220751e-04,-2.006432806e-05
-9.177662432e-04,-1.416939340e-04
-9.357847157e-04,-3.257427306e-04
-8.402430103e-04,-3.860116703e-04
-7.689522463e-04,-4.611520271e-04
-6.949842791e-04,-5.759178894e-04
-6.416313117e-04,-5.891042529e-04
-6.129611866e-04,-7.007658132e-04
-5.195033154e-04,-7.833822165e-04
-3.832206130e-04,-8.368254057e-04
-2.629865194e-04,-8.581333677e-04
-2.064959699e-04,-8.837560890e-04
-2.761159158e-05,-9.780683322e-04
6.647762348e-05,-9.288497968e-04
1.525544067e-04,-8.895755163e-04
3.408799821e-04,-8.482222329e-04
4.581568646e-04,-7.821907639e-04
5.006114370e-04,-7.544652908e-04
6.109153619e-04,-6.381756975e-04
7.179298555e-04,-6.162317004e-04
7.673336077e-04,-5.796013284e-04
8.656473947e-04,-4.404564097e-04
8.877907530e-04,-3.131924605e-04
9.079690208e-04,-1.812434930e-04
9.019264835e-04,-1.103989052e-04
8.945595473e-04,2.910205876e-05
9.200921049e-04,1.321910386e-04
9.031700902e-04,2.207598300e-04
8.185837651e-04,3.880385193e-04
7.431253907e-04,5.001272657e-04
7.614191854e-04,5.482873530e-04
6.491833483e-04,6.652319571e-04
5.296944873e-04,7.507106056e-04
4.877810716e-04,8.006175049e-04
3.673950850e-04,9.233246092e-04
2.709277614e-04,9.002129082e-04
1.473472657e-04,8.485592552e-04
4.525984696e-05,9.006590699e-04
-4.860627450e-05,9.213547455e-04
-2.039659885e-04,9.203721420e-04
-2.921597916e-04,8.769160486e-04
-3.851572692e-04,8.064559661e-04
-5.281138001e-04,7.727828342e-04
-6.107824738e-04,7.148967125e-04
-6.930476520e-04,6.227394333e-04
-7.482565707e-04,5.115620443e-04
-8.436843636e-04,3.974654828e-04
-8.970136405e-04,2.591179800e-04
-8.008073783e-04,2.083566797e-04
-8.799255011e-04,1.094685504e-04
-9.513112018e-04,-3.605598249e-05
-8.771391585e-04,-1.421591151e-04
-8.975547389e-04,-2.905981382e-04
-8.282338385e-04,-3.277363430e-04
-7.295688265e-04,-4.771436797e-04
-7.154378691e-04,-6.126621738e-04
-6.426376058e-04,-6.645816611e-04
-5.991055514e-04,-7.980352966e-04
-4.745045153e-04,-8.148244233e-04
-3.444495087e-04,-8.974598022e-04
-3.265449195e-04,-9.138264577e-04
-1.844997314e-04,-8.646221249e-04
-2.601195320e-06,-9.489331278e-04
7.832065603e-05,-9.334968054e-04
2.266172669e-04,-9.086905047e-04
3.275464987e-04,-8.710206603e-04
3.866429906e-04,-8.215932176e-04
5.448839511e-04,-8.242893382e-04
5.747834221e-04,-7.369499072e-04
6.486802013e-04,-6.707903231e-04
