I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
6.542955525e-04,6.793438806e-04
5.014088820e-04,7.301621372e-04
4.056630423e-04,7.848489331e-04
3.271952446e-04,8.408221183e-04
2.260761394e-04,9.176760213e-04
1.537220960e-04,9.314177441e-04
6.907882198e-05,8.664638153e-04
-1.044655219e-04,8.997477125e-04
-2.830318699e-04,8.733275463e-04
-3.755973885e-04,8.431290044e-04
-5.198355648e-04,8.689368260e-04
-5.598550779e-04,7.530175499e-04
-5.938842078e-04,6.352564669e-04
-7.288235938e-04,5.774985766e-04
-7.232082426e-04,5.098532420e-04
-7.786402712e-04,3.970572725e-04
-8.452080656e-04,2.656636643e-04
-8.849664591e-04,1.367099030e-04
-9.713185718e-04,7.216892845e-05
-9.281614912e-04,-3.830592050e-06
-9.231774602e-04,-1.745696209e-04
-8.943744469e-04,-2.885570284e-04
-8.322115755e-04,-3.457880812e-04
-7.591882604e-04,-4.878522595e-04
-6.925824564e-04,-5.844904808e-04
-6.729453453e-04,-6.054851692e-04
-5.130145582e-04,-7.317618001e-04
-4.195566580e-04,-8.310771082e-04
-3.211526782e-04,-8.862480754e-04
-2.431832690e-04,-9.364539874e-04
-1.863224752e-04,-9.382197750e-04
9.797202438e-06,-9.314509807e-04
9.340094402e-05,-8.779745549e-04
2.079484693e-04,-8.441115497e-04
3.462342720e-04,-8.366355323e-04
3.845401807e-04,-8.068688912e-04
5.670700339e-04,-7.422519848e-04
6.663094391e-04,-6.548176752e-04
6.997594610e-04,-5.810348666e-04
8.281769115e-04,-5.269224057e-04
8.422698593e-04,-4.305072944e-04
8.872164181e-04,-2.828467404e-04
8.672090480e-04,-1.990578894e-04
8.767071995e-04,-8.920011169e-05
9.234955069e-04,1.392683680e-05
8.916593506e-04,1.583928533e-04
8.522379212e-04,2.422339312e-04
7.958612987e-04,3.100501199e-04
8.138038684e-04,4.798208247e-04
7.259043632e-04,5.697092274e-04
6.130893598e-04,6.762395496e-04
5.489376490e-04,7.415637374e-04
4.019463668e-04,8.034465718e-04
3.004760074e-04,8.835140034e-04
2.438905358e-04,8.758528274e-04
1.212736097e-04,8.976496756e-04
3.354497676e-05,9.394491790e-04
-8.747231186e-05,9.107363294e-04
-2.255350119e-04,9.080402087e-04
-3.210577415e-04,8.671521209e-04
-4.546063428e-04,7.961935480e-04
-5.181267625e-04,7.402583724e-04
-6.044266047e-04,6.522687036e-04
-7.283204468e-04,6.270921440e-04
-7.931081927e-04,5.387132405e-04
-8.256278816e-04,3.936728463e-04
-8.619069704e-04,2.652364783e-04
-9.246679256e-04,1.800330938e-04
-9.326233994e-04,1.104178882e-04
-9.325854480e-04,-6.062019020e-05
-9.364919970e-04,-2.242723858e-04
-8.851136081e-04,-2.800936636e-04
-8.149573114e-04,-3.558131284e-04
-7.812414551e-04,-4.978583311e-04
-7.111231098e-04,-5.902909325e-04
-6.770749460e-04,-6.844750606e-04
-5.963572185e-04,-7.354831905e-04
-3.782555577e-04,-7.553386968e-04
-3.400255810e-04,-8.586554904e-04
-2.675053838e-04,-9.021115839e-04
-1.044655219e-04,-8.717469173e-04
2.239021524e-05,-9.326423751e-04
1.669986377e-04,-9.413621156e-04
2.252929407e-04,-9.211316356e-04
3.458070569e-04,-8.652344113e-04
4.608007730e-04,-7.799788145e-04
5.142202135e-04,-7.873077411e-04
6.187236868e-04,-6.954827113e-04
7.349990192e-04,-5.559864803e-04
8.038357482e-04,-4.575825005e-04
8.066648152e-04,-3.575409355e-04
8.821042138e-04,-2.857659711e-04
9.332025074e-04,-2.009708114e-04
9.450075449e-04,-6.854244566e-05
9.171538986e-04,3.060676318e-05
8.884980343e-04,1.798669546e-04
8.784777601e-04,3.095469729e-04
7.943708333e-04,3.823282314e-04
8.066268638e-04,4.855690931e-04
7.902981597e-04,5.538836704e-04
6.038285210e-04,6.882487214e-04
4.864424991e-04,7.358724251e-04
4.891908611e-04,7.799408631e-04
3.635834728e-04,8.653103723e-04
2.366375702e-04,8.777894545e-04
1.023627265e-04,9.440772119e-04
-5.407448043e-05,9.336487274e-04
-8.592488302e-05,8.710016846e-04
-2.385362459e-04,8.871784667e-04
-3.923342738e-04,8.697010926e-04
-4.907003022e-04,8.376038168e-04
-5.892514018e-04,8.164999890e-04
-6.557290326e-04,6.942010950e-04
-7.281163125e-04,6.057272549e-04
-7.770026568e-04,4.840976035e-04
-8.640287560e-04,3.455270198e-04
-9.246821865e-04,2.960663405e-04
-8.984471206e-04,1.819127792e-04
-9.298703517e-04,3.601800927e-05
-8.894093917e-04,-7.175596693e-05
-8.521287818e-04,-2.012508630e-04
-8.796454058e-04,-3.098080342e-04
-7.822287735e-04,-3.816209792e-04
-7.619223325e-04,-4.682388681e-04
-6.891411031e-04,-5.899206735e-04
-5.938461982e-04,-7.043543155e-04
-5.245063221e-04,-7.432155544e-04
-4.270327045e-04,-7.960844086e-04
-3.504778142e-04,-8.466035943e-04
-2.075165248e-04,-8.731044363e-04
-8.823178359e-05,-9.138786700e-04
4.124413317e-05,-9.414760279e-04
1.543723920e-04,-9.008442285e-04
2.259812027e-04,-8.821374504e-04
3.153332218e-04,-8.653673576e-04
3.854515671e-04,-8.080555708e-04
5.200966261e-04,-7.683968870e-04
6.831744686e-04,-6.595216691e-04
7.059349446e-04,-5.463364068e-04
7.256622775e-04,-4.336875863e-04
8.377699996e-04,-3.284578561e-04
8.690839750e-04,-3.110754187e-04
8.804665995e-04,-2.246996009e-04
9.500675369e-04,-7.601376274e-05
9.809685871e-04,7.058827032e-05
9.046558407e-04,2.409902954e-04
8.575922111e-04,2.897247323e-04
8.367873961e-04,3.255955817e-04
7.297349512e-04,4.974121111e-04
6.917850114e-04,6.416170509e-04
6.129802205e-04,7.215563674e-04
5.014088820e-04,7.614381611e-04
4.695015086e-04,7.816164289e-04
3.436520637e-04,8.669859380e-04
2.165162732e-04,9.180842317e-04
1.335295965e-04,8.959551342e-04
-6.220084470e-05,9.408969199e-04
-1.475134050e-04,9.159814799e-04
-2.047301969e-04,8.331799181e-04
-3.450998047e-04,8.477950469e-04
-3.977977321e-04,7.893488510e-04
-5.565608153e-04,7.554715849e-04
-7.141182432e-04,6.812757929e-04
-7.714822423e-04,5.410343874e-04
-8.060097462e-04,4.626567534e-04
-8.209618973e-04,3.555520670e-04
-8.843541727e-04,2.423478581e-04
-8.709636750e-04,1.700697467e-04
-8.924235590e-04,5.942876669e-05
-9.577667224e-04,-5.775792670e-05
-9.295760537e-04,-1.929393766e-04
-8.965294692e-04,-3.015725233e-04
-8.259269525e-04,-3.746670554e-04
-7.841464248e-04,-4.701138241e-04
-7.055789465e-04,-5.787659320e-04
-6.362770218e-04,-6.997784949e-04
-5.317735486e-04,-7.985716802e-04
-4.527645942e-04,-8.541365969e-04
-3.223963140e-04,-7.996349595e-04
-2.424190461e-04,-9.665575926e-04
-1.887955004e-04,-9.643646190e-04
4.012865611e-05,-8.892053156e-04
8.414011972e-05,-9.431136423e-04
2.653836273e-04,-8.364503738e-04
3.815829987e-04,-8.634496480e-04
3.957519075e-04,-8.067170274e-04
5.578661803e-04,-7.177257794e-04
6.765717990e-04,-6.363909342e-04
7.382695330e-04,-5.578661803e-04
7.541709929e-04,-5.105415476e-04
7.917696494e-04,-4.154839844e-04
8.368254057e-04,-3.199232742e-04
9.077459108e-04,-1.957114582e-04
9.111493127e-04,-8.302464266e-05
9.000657592e-04,6.485899939e-05
8.730285335e-04,1.464738743e-04
8.876056527e-04,2.558854467e-04
8.790900465e-04,3.994543513e-04
7.302760496e-04,4.561490205e-04
6.505408674e-04,6.112476694e-04
5.696712178e-04,7.126847631e-04
4.858823668e-04,7.406333461e-04
4.734792456e-04,8.178955177e-04
3.481899039e-04,8.648072253e-04
2.121872822e-04,8.651252720e-04
6.835257227e-05,9.024248575e-04
-7.973517495e-05,9.398004622e-04
-1.001887358e-04,8.970895433e-04
-2.609406947e-04,8.926846203e-04
-3.974844585e-04,8.719130419e-04
-4.564100818e-04,7.605268038e-04
-5.577522679e-04,7.226148737e-04
-6.301585236e-04,6.247852580e-04
-7.135201595e-04,5.057615926e-04
-7.789203082e-04,4.534908512e-04
-8.579292335e-04,3.290369641e-04
-8.951908676e-04,2.850017627e-04
-9.102569311e-04,2.057697275e-04
-8.656093851e-04,2.218136069e-05
-9.168168763e-04,-9.306867287e-05
-8.921624976e-04,-1.982414542e-04
-8.402097737e-04,-3.366981400e-04
-8.585035685e-04,-4.067642731e-04
-6.964510540e-04,-5.504423170e-04
-6.878974382e-04,-6.226492114e-04
-6.796429516e-04,-6.517655565e-04
-6.265510456e-04,-7.412456907e-04
-4.744095786e-04,-8.227656363e-04
-2.826616401e-04,-8.711108239e-04
-2.654975397e-04,-8.735506563e-04
-1.559910161e-04,-8.905438590e-04
-1.710712968e-05,-9.001037106e-04
1.166075963e-04,-9.071098757e-04
2.268023818e-04,-8.796454058e-04
3.396885586e-04,-8.639908046e-04
4.490099673e-04,-7.886984968e-04
4.944928805e-04,-7.344009355e-04
6.656211917e-04,-6.836586399e-04
7.356113638e-04,-5.919285468e-04
7.559937076e-04,-5.171394441e-04
8.694590069e-04,-4.241846909e-04
8.988173795e-04,-2.384033432e-04
8.772103465e-04,-1.347732468e-04
8.619449800e-04,-5.998887718e-05
9.133802960e-04,8.280154725e-05
9.146049269e-04,1.966940326e-04
8.363222587e-04,2.869573946e-04
8.002092945e-04,3.637163900e-04
7.766134222e-04,4.509798600e-04
6.794008659e-04,5.751014687e-04
