I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-5.299507757e-04,8.162009181e-04
-6.310176686e-04,6.812568172e-04
-7.232272183e-04,5.871154135e-04
-8.009355515e-04,5.030274624e-04
-8.517015376e-04,3.619838390e-04
-8.921435219e-04,2.778057533e-04
-9.046036284e-04,1.405404910e-04
-9.109974490e-04,6.227679023e-06
-9.021305596e-04,-8.745332161e-05
-8.969946648e-04,-1.651046914e-04
-8.293303545e-04,-2.479632094e-04
-8.183416794e-04,-4.236293316e-04
-8.379028877e-04,-5.924697034e-04
-6.751762703e-04,-6.492924877e-04
-6.445695180e-04,-6.862218725e-04
-5.940123810e-04,-7.656057714e-04
-4.161532561e-04,-8.378269267e-04
-3.594918235e-04,-8.304078365e-04
-2.241584734e-04,-8.833288448e-04
-9.463034075e-05,-9.398194379e-04
1.474801775e-05,-8.482222329e-04
1.259443670e-04,-8.790520951e-04
2.536877291e-04,-9.219148196e-04
3.780704283e-04,-8.317084284e-04
4.005318624e-04,-8.130586357e-04
5.006683641e-04,-7.642292767e-04
6.300303503e-04,-6.597257452e-04
7.148967125e-04,-5.852926406e-04
7.362426841e-04,-5.133468076e-04
8.467886946e-04,-4.319597792e-04
9.461040609e-04,-2.974998206e-04
8.755394956e-04,-1.623326243e-04
9.098439477e-04,-3.456551713e-05
9.345220751e-04,8.421606617e-05
8.734746953e-04,1.843858190e-04
8.397066267e-04,2.739561605e-04
8.238621522e-04,4.079699283e-04
7.926810067e-04,5.203767214e-04
7.607356529e-04,5.765350070e-04
6.308135926e-04,6.436771364e-04
5.337292096e-04,7.500983193e-04
4.933774471e-04,8.354488527e-04
3.034854308e-04,8.597139968e-04
2.012128971e-04,8.767641848e-04
1.227260946e-04,8.974978118e-04
-2.618283361e-05,9.110543760e-04
-1.036490867e-04,8.777515031e-04
-2.061067498e-04,9.007730405e-04
-3.746480506e-04,8.518677205e-04
-4.298000422e-04,7.743634633e-04
-5.367575795e-04,7.222256390e-04
-6.490884116e-04,6.832504296e-04
-6.780432886e-04,6.156573654e-04
-7.491489523e-04,4.598514352e-04
-8.364694077e-04,3.909007937e-04
-9.343702113e-04,2.835919731e-04
-9.189196862e-04,1.917669433e-04
-9.048599168e-04,9.645307728e-05
-8.974408265e-04,-9.941027383e-05
-9.228641866e-04,-1.790695096e-04
-8.718940662e-04,-2.501941635e-04
-8.419565856e-04,-3.887790081e-04
-7.653827197e-04,-5.219953018e-04
-6.620136555e-04,-6.121257902e-04
-6.458178977e-04,-6.645246758e-04
-5.582364392e-04,-7.879010518e-04
-4.764554324e-04,-8.225615020e-04
-3.068888327e-04,-8.346086834e-04
-1.916767651e-04,-9.070196538e-04
-8.934726065e-05,-9.828103939e-04
-1.641885865e-05,-9.389080806e-04
9.621099889e-05,-8.321214118e-04
2.548981574e-04,-8.976829122e-04
3.274563060e-04,-8.280487382e-04
4.481175856e-04,-7.885133964e-04
5.515767843e-04,-7.611818728e-04
6.503937184e-04,-6.218470517e-04
7.005237276e-04,-5.920614349e-04
7.639871910e-04,-4.838175664e-04
8.150284993e-04,-3.538432356e-04
8.559926064e-04,-2.222265612e-04
9.590483387e-04,-1.161424152e-04
9.298703517e-04,-7.014208677e-05
9.018315468e-04,9.987070371e-05
9.431326180e-04,2.536544926e-04
8.919773391e-04,2.891693730e-04
8.639717707e-04,3.784216824e-04
8.462143596e-04,4.823698255e-04
7.029587869e-04,5.617489805e-04
6.443654420e-04,6.806635065e-04
5.458332598e-04,7.564589032e-04
4.060380161e-04,8.103055297e-04
3.362329735e-04,8.429771406e-04
1.824918872e-04,8.899505483e-04
9.238040366e-05,9.650529246e-04
-1.611981497e-05,9.022207814e-04
-1.692485675e-04,9.109404637e-04
-2.147694904e-04,9.385378216e-04
-2.943954896e-04,8.475909126e-04
-4.184221907e-04,8.072391502e-04
-5.265664076e-04,7.160501555e-04
-6.776872906e-04,6.910397788e-04
-7.074586465e-04,6.014314713e-04
-7.874169387e-04,4.358093720e-04
