I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-6.495725829e-04,-5.789700663e-04
-6.047778879e-04,-7.261464489e-04
-4.931353615e-04,-7.760580629e-04
-3.636214533e-04,-8.332178695e-04
-3.044157929e-04,-8.724684012e-04
-1.889426494e-04,-9.014755487e-04
-7.378280861e-05,-9.131571860e-04
5.327228791e-05,-8.814681787e-04
1.390879916e-04,-9.168168763e-04
2.860982495e-04,-8.593437378e-04
4.606868606e-04,-8.398727514e-04
5.049451720e-04,-7.648225874e-04
5.729084951e-04,-6.559711182e-04
6.983829662e-04,-6.559331669e-04
7.588369772e-04,-5.506844027e-04
8.030905155e-04,-4.187924205e-04
8.731186972e-04,-3.185087699e-04
9.265429107e-04,-2.226727520e-04
9.243309032e-04,-1.218716934e-04
9.504377958e-04,2.898813727e-05
9.400804993e-04,1.636711968e-04
8.957889513e-04,2.465676807e-04
8.878856897e-04,3.436520637e-04
8.287512464e-04,4.275880638e-04
7.861732738e-04,5.487714661e-04
6.315161008e-04,6.209024577e-04
5.515957600e-04,6.367042079e-04
4.947919515e-04,7.579066441e-04
3.786447924e-04,8.533913642e-04
2.848735894e-04,8.812118322e-04
1.499294740e-04,8.815251058e-04
1.163085544e-04,9.271029849e-04
-1.161993805e-05,8.999138372e-04
-1.729509968e-04,8.607535274e-04
-2.242913761e-04,9.436879773e-04
-3.542894265e-04,7.970290026e-04
-5.110256607e-04,6.961330073e-04
-6.122919149e-04,7.500793436e-04
-6.676859921e-04,6.119026802e-04
-7.111231098e-04,5.197073915e-04
-7.982203970e-04,5.432653124e-04
-8.601981681e-04,3.654441971e-04
-8.803147357e-04,2.089879999e-04
-8.573501254e-04,1.888667030e-04
-9.095306741e-04,-4.659841943e-05
-9.117806330e-04,-1.449264382e-04
-8.548438782e-04,-1.714795217e-04
-9.070766391e-04,-3.509050293e-04
-8.074243087e-04,-4.313996760e-04
-7.647703751e-04,-5.220143357e-04
-7.175548817e-04,-6.086464273e-04
-5.119323032e-04,-6.682603271e-04
-4.838365421e-04,-7.212763303e-04
-3.915700654e-04,-7.788253715e-04
-3.051420208e-04,-8.541365969e-04
-2.107917389e-04,-9.150701226e-04
-6.136067532e-05,-9.373463690e-04
5.448269803e-05,-8.886641590e-04
1.695855899e-04,-8.864711854e-04
2.653646225e-04,-8.720981423e-04
4.193857603e-04,-8.659416926e-04
5.235949648e-04,-8.005985292e-04
5.822975072e-04,-7.190263714e-04
6.245099357e-04,-6.368751056e-04
7.644143770e-04,-4.711011425e-04
8.201644523e-04,-4.553895269e-04
8.466795553e-04,-3.348944010e-04
8.542837459e-04,-2.310411946e-04
9.004739695e-04,-1.490370923e-04
9.810065385e-04,-1.063736909e-05
8.897796506e-04,7.285245374e-05
8.901356487e-04,2.428320149e-04
8.495228249e-04,3.116687585e-04
7.928091800e-04,4.304503382e-04
7.527564885e-04,5.645590136e-04
6.581071066e-04,6.039614673e-04
6.053380203e-04,7.130739978e-04
5.165081238e-04,7.659048424e-04
3.568146785e-04,8.409882430e-04
2.358211350e-04,9.241078515e-04
1.615873916e-04,8.862480754e-04
1.101188464e-04,9.357277886e-04
-9.094689631e-06,9.396153037e-04
-1.926261029e-04,8.554941742e-04
-2.495248627e-04,8.624481270e-04
-3.872932866e-04,8.376797778e-04
-4.878000473e-04,7.346097846e-04
-5.100383423e-04,6.610833225e-04
-6.189657724e-04,6.220511277e-04
-7.311494555e-04,5.379869835e-04
-8.336451137e-04,4.269947240e-04
-8.016237989e-04,3.218409547e-04
-9.052348905e-04,2.270634577e-04
-9.416421526e-04,1.572583860e-04
-8.542837459e-04,1.405974490e-05
-8.901926340e-04,-9.135511209e-05
-8.434612537e-04,-1.748306968e-04
-8.582425071e-04,-3.529651149e-04
