I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
1.569261258e-05,-5.816614066e-05
-1.404075829e-05,-8.062755660e-05
4.666012501e-06,-1.263146114e-04
1.958016401e-05,-4.302889647e-05
1.255029201e-05,-5.340519419e-05
5.814715405e-05,-1.701789297e-04
-5.264097581e-06,-1.078689093e-04
1.564039849e-05,-4.432949208e-05
4.797496513e-05,-8.633784455e-05
1.448694820e-05,-9.375694935e-05
-7.789345545e-06,3.811605438e-06
3.678222856e-05,3.142319656e-06
9.267470159e-05,1.132564194e-05
1.039813578e-04,1.262623937e-05
1.205710942e-04,-5.459661770e-05
6.768328603e-05,-1.530338159e-05
5.942876669e-05,-2.914003198e-05
1.196217490e-04,2.601195320e-06
8.092659846e-05,6.941583706e-05
7.229708717e-05,4.211752821e-05
3.923627810e-05,9.927737119e-05
-1.761028216e-05,1.111773599e-04
7.430494588e-05,5.387037163e-05
2.675718497e-05,1.065493198e-04
8.923808537e-07,8.300565969e-05
4.355103374e-05,8.068452007e-05
3.285670391e-05,8.032851474e-05
2.687110646e-05,2.807676901e-05
-3.847205517e-05,1.078309360e-04
-6.856142863e-05,5.061413322e-05
-3.713348633e-05,1.063736909e-05
-3.529176320e-05,1.467207039e-05
-6.826238678e-05,-2.326360845e-05
-6.826238678e-05,6.485899939e-05
-3.293265036e-05,9.152599523e-05
-2.036337173e-05,3.434242171e-05
-9.632016736e-05,9.540880455e-06
-9.581702034e-05,1.785236418e-05
-5.498584869e-05,1.141582925e-05
-5.896358925e-05,5.283084647e-06
-4.130109301e-05,-9.260824299e-06
-8.676505240e-05,2.147884697e-05
-5.547001274e-05,3.369212209e-05
-1.647581848e-05,-5.464883361e-05
-1.062692681e-04,-3.942139665e-05
-7.521631051e-05,-4.635633741e-05
-5.188150317e-05,-7.886178355e-05
-9.870301437e-05,-6.361061241e-05
-7.186988660e-05,-7.636976079e-05
-3.293265036e-05,-7.675899542e-05
-4.669335249e-05,-1.679289853e-04
-2.225730714e-05,-1.577757794e-04
5.935282024e-05,-1.359836460e-04
-3.047385690e-06,-1.025146194e-04
3.914134140e-05,-8.681726285e-06
6.471185043e-05,-1.126108691e-04
4.174728383e-05,-1.045414683e-04
1.013611691e-04,-2.521450551e-05
9.520469757e-05,-9.857011173e-05
1.213495561e-04,-7.895196904e-05
1.235994860e-04,-2.313070036e-05
9.473951650e-05,-3.202128210e-05
7.912285218e-05,-2.638694241e-05
1.164414571e-04,-1.459612304e-05
1.215536613e-04,-2.119879173e-05
1.109732548e-04,-5.221377069e-05
1.110681842e-04,-2.023046363e-05
6.342549023e-05,2.523349212e-05
2.578885687e-05,2.166396916e-05
4.738162534e-05,5.154448809e-05
5.065210644e-05,7.824946078e-05
6.361061241e-05,3.905115591e-05
4.872019781e-05,6.117555313e-05
