I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
9.466831398e-05,-6.123251660e-05
9.362403944e-05,3.066372301e-05
5.362828961e-05,1.400278416e-05
7.837761950e-05,-8.923808309e-06
1.053199230e-04,5.770096686e-05
1.181312837e-04,2.203421172e-05
1.092644379e-04,3.451330485e-05
6.062019020e-05,5.771995347e-05
1.437919855e-04,7.280024147e-05
1.191565752e-04,4.019985863e-05
6.383845903e-05,6.324037531e-05
9.846093599e-05,7.545839617e-05
-1.077502361e-06,5.577380307e-06
-3.382503201e-05,5.098912152e-05
7.930797437e-05,9.661920922e-05
5.249382957e-05,1.505797700e-04
1.395531740e-06,1.166455695e-04
4.685948807e-05,2.397086791e-05
1.697896914e-05,1.027756880e-04
3.882806050e-05,1.335295965e-04
-2.480628791e-05,1.153639532e-04
-5.405549382e-05,9.760652756e-05
-3.488354560e-05,1.076458138e-04
-8.317654283e-05,1.292907982e-04
-8.399297076e-05,4.187544619e-05
-9.009249334e-05,2.192503780e-05
-6.902185851e-05,2.079057413e-05
-1.071616498e-04,1.472903023e-05
-8.023832925e-05,-3.735658083e-06
-1.017693867e-04,1.204714135e-05
-1.341799070e-04,2.095670970e-05
-1.154019337e-04,-4.038972475e-05
-1.497823250e-04,-1.881594471e-05
-1.193606804e-04,-3.930747698e-05
-1.004498044e-04,-4.628039096e-05
-4.111122689e-05,-5.425960262e-05
-1.021776043e-04,-1.050588544e-04
-1.070857033e-04,-1.426242961e-04
-5.736394814e-05,-5.567412154e-05
-4.992586037e-05,-2.963843508e-05
-4.648924369e-05,-1.035541500e-04
-1.219998521e-04,-9.797202438e-06
-5.981799768e-05,-2.061969280e-05
-2.819069050e-05,-8.068452007e-05
-4.908094525e-06,-8.644702029e-05
3.585187369e-05,-9.319683886e-05
5.286407031e-05,-6.757411757e-05
6.480203592e-05,-7.823047054e-05
1.799951133e-05,-1.405025105e-04
-4.371716841e-06,-7.547737914e-05
2.515754568e-05,-2.893592318e-05
7.953106979e-05,-7.969720173e-05
9.422212315e-05,1.216106193e-05
6.500614836e-05,9.351011613e-06
7.623685087e-05,-9.574107025e-06
6.296031643e-05,2.436009891e-05
6.407579349e-05,5.390834485e-05
9.124594362e-05,-1.191423394e-06
5.972780855e-05,-6.485899939e-05
6.115657015e-05,1.686504766e-05
6.017399937e-05,5.461086039e-05
9.191522986e-05,2.924920591e-05
5.507603782e-05,7.017530879e-05
1.919093484e-05,7.350750093e-05
2.277944441e-05,3.977265442e-05
3.422375357e-06,4.274884122e-05
1.543154394e-05,5.303020589e-05
5.857436008e-06,9.682332166e-05
1.504706006e-06,1.011380737e-04
-2.249938916e-05,6.260906230e-05
-6.577036402e-05,1.854063521e-05
-3.613192894e-05,3.508765440e-05
-6.179262709e-05,3.644521348e-05
-9.598790348e-05,4.090711809e-05
-7.813553384e-05,7.601376274e-05
-1.717785635e-04,5.405549382e-05
-1.522553648e-04,2.363385283e-05
-1.115713385e-04,-6.265652701e-06
-1.540780941e-04,1.829855319e-05
-9.210034477e-05,-2.379998659e-05
-5.821835657e-05,-4.369817907e-05
-9.565088112e-05,4.694967356e-05
-1.747547503e-04,-3.843408194e-05
-1.623516000e-04,-1.030177737e-04
-1.054528329e-04,-1.005067679e-04
-1.077407433e-04,-1.103229515e-04
-7.350750093e-05,-7.515935431e-05
-7.192684279e-05,-8.705934306e-05
-1.478266786e-04,-8.273035201e-05
-7.259612903e-05,-1.002077261e-04
-4.652247299e-05,-1.189714530e-04
-6.076733916e-05,-8.120190614e-05
2.328259507e-05,-1.038721821e-04
1.270218672e-05,-1.171487165e-04
1.493313903e-05,-1.075318942e-04
3.129503602e-05,-1.011001004e-04
6.640167703e-05,-6.404256419e-05
7.999624358e-05,-6.147459499e-05
1.077407433e-04,-1.820362013e-05
7.120060036e-05,3.992454731e-05
1.176518708e-04,3.047860264e-05
1.694194507e-04,-3.384401862e-05
4.669335249e-05,-2.727932224e-05
1.041854630e-04,-7.547263522e-06
1.293287642e-04,5.449219316e-06
4.905246533e-05,3.756069054e-05
8.920011169e-05,3.330289474e-05
1.192847340e-04,5.725477604e-05
7.549636939e-05,6.072936230e-05
1.095777188e-04,4.327097849e-05
1.127010546e-04,7.785548223e-05
3.287569052e-05,1.026617683e-04
5.557918848e-05,7.977314817e-05
1.041474898e-04,9.264147229e-05
-6.640642368e-06,1.588390442e-04
2.305950147e-05,1.059180140e-04
9.741666145e-05,4.169032400e-05
1.745838745e-05,1.037772454e-04
3.681545786e-05,6.062019020e-05
-1.117374723e-05,1.044275414e-04
-7.086832738e-06,1.163845009e-04
-2.117980512e-05,6.266601849e-05
-5.163942114e-05,1.328413346e-04
1.987920768e-05,3.099599417e-05
-9.083772602e-05,3.110991383e-05
-9.451642109e-05,1.295328693e-04
-5.686079749e-05,9.496261191e-05
-6.160276098e-05,5.128341945e-05
-3.501645551e-05,-2.880301508e-05
-9.078076255e-05,5.031508863e-07
-7.469417324e-05,6.844750715e-06
-6.990000111e-05,-3.845306856e-05
-2.629200753e-05,-3.008462591e-05
-4.469973646e-05,-8.776660252e-05
-8.559261187e-05,-7.675899542e-05
-6.320239481e-05,-4.267289114e-05
-9.152599523e-05,-1.453536534e-04
-1.998838161e-05,-8.600082947e-05
2.002635483e-05,-8.137278928e-05
3.257664866e-05,-1.306673366e-04
2.151207445e-05,-1.093736137e-04
4.935150719e-05,-1.636522065e-04
9.074278933e-05,-9.933432739e-05
5.781488653e-06,-1.158291343e-04
7.746625488e-05,-1.077739726e-04
9.193421283e-05,-9.131713887e-05
6.048728028e-05,-1.288066269e-04
8.453409828e-05,-7.819249731e-05
4.274884122e-05,-1.074796746e-04
6.240494986e-05,-6.156953168e-05
9.763975686e-05,-4.142925536e-05
8.120190614e-05,-7.450905105e-05
1.065113465e-04,-1.022915239e-05
1.668514888e-04,-1.433505349e-05
1.167025257e-04,2.800557013e-07
8.494231588e-05,-7.012309652e-05
6.190180284e-05,-2.867485455e-05
1.046316538e-04,2.562272130e-05
1.392209087e-04,-1.333349883e-05
9.213831800e-05,3.962550545e-05
9.031558875e-05,-3.654014654e-05
8.564957534e-05,2.845175914e-05
3.097700755e-05,6.495393609e-05
2.307848808e-05,4.570603778e-05
4.347508730e-05,9.570784459e-05
3.830592050e-06,8.466225700e-05
-2.742647121e-05,1.267797925e-04
-3.077289875e-05,1.555068593e-04
-5.970882194e-05,1.276531839e-04
-6.283215771e-05,9.885016334e-05
-1.096489200e-06,7.315149560e-05
1.229396958e-06,5.100336057e-05
-3.798789112e-05,5.119323032e-05
-4.023783185e-05,5.719781257e-05
