I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
1.346260979e-04,9.058092837e-04
-7.233980796e-06,9.427386685e-04
-4.195139263e-05,8.847623831e-04
-2.210920939e-04,8.799064672e-04
-3.604601370e-04,8.568897028e-04
-4.054067249e-04,7.959515206e-04
-5.214921548e-04,7.780089509e-04
-5.794874160e-04,7.773776306e-04
-6.798850372e-04,6.968402886e-04
-7.973470492e-04,5.488996394e-04
-7.462487556e-04,4.247970064e-04
-8.211280219e-04,2.901898988e-04
-9.096018621e-04,1.785283821e-04
-8.268193342e-04,4.641329724e-05
-8.784967358e-04,-6.193977606e-05
-8.820092771e-04,-1.585779683e-04
-8.985230816e-04,-2.511435014e-04
-8.958981489e-04,-3.935019777e-04
-8.265582728e-04,-4.960355582e-04
-7.843315834e-04,-5.828196299e-04
-6.693947944e-04,-7.046723040e-04
-5.350677529e-04,-7.021803176e-04
-4.382064508e-04,-7.436617743e-04
-3.082274052e-04,-8.175395196e-04
-2.287532843e-04,-8.911372279e-04
-1.335675770e-04,-9.467733325e-04
5.351436994e-05,-9.355236543e-04
8.676505240e-05,-9.328275337e-04
1.858383039e-04,-9.435788379e-04
3.578399774e-04,-9.041194571e-04
4.258982372e-04,-8.006175049e-04
5.023202393e-04,-7.547453279e-04
5.656934809e-04,-6.411329377e-04
6.571055856e-04,-5.669371458e-04
6.933276891e-04,-5.352149019e-04
7.939436473e-04,-3.655723413e-04
9.025008185e-04,-3.128744138e-04
8.894283674e-04,-2.349999559e-04
9.421263239e-04,-4.687847468e-05
9.552367264e-04,1.286832139e-05
9.141207556e-04,1.331213862e-04
8.509563049e-04,3.237158817e-04
8.335311431e-04,3.985239891e-04
7.939056377e-04,4.486729449e-04
6.462641177e-04,5.575481337e-04
6.263849209e-04,6.828232436e-04
5.671222461e-04,7.305561448e-04
5.057995440e-04,8.261880139e-04
4.125647538e-04,8.767071995e-04
2.470708278e-04,8.913270431e-04
1.875281305e-04,9.715226479e-04
2.847074575e-05,9.150890983e-04
-6.733203190e-05,8.616269333e-04
-1.452634606e-04,9.175241576e-04
-2.982782898e-04,8.742911159e-04
-4.092705494e-04,8.045050781e-04
-5.829287693e-04,7.913614390e-04
-6.608032854e-04,6.752332556e-04
-7.078289054e-04,5.833370378e-04
-7.684110897e-04,5.034166970e-04
-8.229697705e-04,3.680833615e-04
-9.114056593e-04,3.041547316e-04
-8.277686429e-04,1.729889773e-04
-8.465656429e-04,4.369817907e-05
-9.517573635e-04,-5.135936590e-05
-9.349113097e-04,-1.978284854e-04
-9.142346680e-04,-2.363575040e-04
-8.123513544e-04,-3.451757657e-04
-7.256242679e-04,-5.022822297e-04
-7.513419259e-04,-5.711949198e-04
-6.887139170e-04,-6.579789915e-04
-5.936610978e-04,-7.111041341e-04
-4.531016166e-04,-7.963597309e-04
-3.495284764e-04,-9.216537583e-04
-2.706856758e-04,-9.409728809e-04
-9.463034075e-05,-9.189196862e-04
-1.965611227e-05,-9.667095146e-04
1.256453252e-04,-9.330696194e-04
2.349809656e-04,-8.453599876e-04
3.250734590e-04,-8.895043284e-04
4.391747934e-04,-8.077233215e-04
5.009247106e-04,-7.255151286e-04
5.682045012e-04,-7.075725589e-04
6.672967575e-04,-5.514106597e-04
7.185232244e-04,-4.709492496e-04
7.285815082e-04,-3.342630807e-04
8.175964467e-04,-2.552873630e-04
9.095496498e-04,-1.551745809e-04
9.368621977e-04,7.495049886e-06
8.635825943e-04,3.977265442e-05
8.923096466e-04,1.687121985e-04
9.155352600e-04,2.941154235e-04
8.713339339e-04,3.585472296e-04
7.756830310e-04,4.608529853e-04
7.324690232e-04,5.835078773e-04
7.034809096e-04,6.914669648e-04
5.268084933e-04,7.713682717e-04
4.291877267e-04,8.362652734e-04
3.857695847e-04,8.201644523e-04
1.928112179e-04,8.326767711e-04
6.478305295e-05,8.893904160e-04
3.434242171e-05,9.303924744e-04
-1.438489417e-04,9.647918632e-04
-2.223404881e-04,9.288687725e-04
-2.958242549e-04,8.671710966e-04
-4.387618101e-04,8.063657442e-04
-5.272404524e-04,8.108466864e-04
-6.157475291e-04,7.000015466e-04
-7.393849664e-04,6.471564993e-04
-7.799977902e-04,5.878036609e-04
-7.998390356e-04,3.999195178e-04
-8.793511079e-04,3.534682619e-04
-8.899125387e-04,2.313022705e-04
-9.291488095e-04,9.559392493e-05
-8.787720581e-04,-6.826238678e-05
-8.499689866e-04,-1.924362296e-04
-8.402287494e-04,-2.672063420e-04
-7.591692847e-04,-3.821431019e-04
-7.386777434e-04,-4.684951855e-04
-6.933846744e-04,-5.734259030e-04
-6.500187446e-04,-6.177933537e-04
-5.373366876e-04,-7.255341043e-04
-4.720694560e-04,-8.079084218e-04
-4.341148015e-04,-8.519246476e-04
-2.402450627e-04,-8.853747277e-04
-1.201249033e-04,-8.678973536e-04
-3.010361252e-05,-8.491335902e-04
1.598595845e-04,-8.269142709e-04
2.337183396e-04,-8.618500433e-04
2.973859082e-04,-8.098973194e-04
4.428534885e-04,-7.611961337e-04
4.834283318e-04,-7.340876618e-04
5.450168392e-04,-6.155814044e-04
6.637984188e-04,-6.128662499e-04
7.452234277e-04,-5.063739372e-04
8.088957402e-04,-3.807665489e-04
8.226184873e-04,-3.289420274e-04
8.724684012e-04,-1.664432639e-04
8.782878867e-04,-9.319683886e-05
8.998426492e-04,9.445946489e-06
8.813779568e-04,1.666853495e-04
7.941477234e-04,3.255006450e-04
8.074243087e-04,4.242986033e-04
7.594872732e-04,4.752640089e-04
6.902233581e-04,6.166778621e-04
6.484381156e-04,6.732443580e-04
6.150972331e-04,6.651180447e-04
4.760851734e-04,7.705138996e-04
3.710405726e-04,8.428679430e-04
3.344292054e-04,8.537426475e-04
1.370991231e-04,9.447085322e-04
4.793698827e-05,9.750209865e-04
-5.803323438e-05,9.255033801e-04
-2.314683952e-04,9.120416944e-04
-3.472405660e-04,9.109072271e-04
-4.587549483e-04,8.301847265e-04
-5.002553808e-04,7.482565707e-04
-5.704164505e-04,6.447404157e-04
-6.631291471e-04,5.405881675e-04
-7.105440018e-04,4.957935307e-04
-8.099732804e-04,3.559033212e-04
-8.718940662e-04,2.822534007e-04
-8.773955051e-04,1.478646591e-04
-9.050118388e-04,4.113021350e-05
-9.268039721e-04,-7.252967862e-06
-9.373273933e-04,-1.804080821e-04
-8.909710450e-04,-2.670781978e-04
-8.592678350e-04,-3.999005421e-04
-8.243083139e-04,-5.125873722e-04
-7.655488444e-04,-5.875046481e-04
-6.115656579e-04,-6.841048598e-04
-4.825169744e-04,-7.178159431e-04
-4.108511785e-04,-8.323587244e-04
-2.945616143e-04,-9.207424009e-04
-1.844237850e-04,-8.791280561e-04
-1.356656139e-04,-9.077459108e-04
1.807545777e-05,-9.309525485e-04
1.587061415e-04,-8.871214814e-04
1.765205234e-04,-8.926656446e-04
3.770641342e-04,-8.312622667e-04
4.764364276e-04,-8.018279332e-04
5.302498466e-04,-7.966777193e-04
6.076971185e-04,-6.827093312e-04
6.877123378e-04,-6.052430836e-04
7.181529654e-04,-5.142771988e-04
7.151768077e-04,-4.034320882e-04
8.693260606e-04,-3.116877342e-04
8.994486998e-04,-1.803131454e-04
9.190858109e-04,-5.996989057e-05
9.147188393e-04,1.697896914e-05
9.046226041e-04,1.430514967e-04
9.259495419e-04,3.406189207e-04
7.970100269e-04,4.673275107e-04
7.555997581e-04,5.260110484e-04
6.844560849e-04,5.840442609e-04
5.938082468e-04,6.116795703e-04
5.483253044e-04,6.902233581e-04
4.917208571e-04,8.222435135e-04
3.989132238e-04,8.563675801e-04
2.144894243e-04,8.929077303e-04
1.534610201e-04,9.268229478e-04
7.380179159e-05,8.982809959e-04
-8.148196503e-05,9.395583766e-04
-2.127236512e-04,8.830108563e-04
-2.930189366e-04,8.370294818e-04
-4.091423762e-04,8.354108431e-04
-5.417036591e-04,6.905366317e-04
-5.413523759e-04,6.517323200e-04
-6.901853485e-04,5.690019461e-04
-8.189920336e-04,4.324581823e-04
-8.017187356e-04,3.771400661e-04
-8.688609232e-04,2.283070935e-04
-9.302073158e-04,1.030177737e-04
-9.392450447e-04,3.097700755e-05
-8.895422798e-04,-1.060461727e-04
-9.062174940e-04,-1.446321548e-04
-8.566808538e-04,-2.450819593e-04
-8.066078299e-04,-3.972043924e-04
-7.943139062e-04,-4.479514610e-04
-6.885857438e-04,-5.986404140e-04
-6.488842773e-04,-6.375064258e-04
-5.591667723e-04,-7.142844261e-04
-5.075653316e-04,-8.299236652e-04
-4.160962999e-04,-8.087058668e-04
-2.342926891e-04,-8.903777343e-04
-1.499864302e-04,-8.985420573e-04
1.251231879e-05,-8.835899644e-04
1.122406247e-04,-9.109072271e-04
1.558059012e-04,-8.466035943e-04
2.860080567e-04,-8.488915046e-04
4.340957967e-04,-7.878061733e-04
5.914633512e-04,-6.762015983e-04
5.653185071e-04,-6.804783479e-04
6.607842515e-04,-5.890852772e-04
7.968248683e-04,-4.353062250e-04
8.000431699e-04,-3.836098476e-04
8.729905239e-04,-3.648888378e-04
8.993775118e-04,-2.191981621e-04
9.562192718e-04,-1.045414683e-04
9.560531471e-04,2.910205876e-05
8.410261944e-04,1.664812444e-04
8.728624089e-04,3.006611369e-04
8.770062705e-04,4.776468559e-04
7.556187338e-04,5.135319661e-04
7.433295250e-04,6.012843223e-04
6.351046031e-04,6.920650485e-04
5.312940921e-04,7.346619968e-04
4.170076572e-04,7.827319205e-04
2.886472212e-04,7.903930964e-04
1.781391475e-04,8.176913834e-04
5.403650721e-05,8.985041059e-04
4.896227983e-05,9.479647852e-04
-4.122514656e-05,8.676552679e-04
-1.840725308e-04,7.956192130e-04
-3.173932782e-04,8.205726626e-04
-4.584748822e-04,7.910623681e-04
-5.649292725e-04,7.571993629e-04
-6.553208223e-04,6.785796722e-04
-7.058780175e-04,5.454772618e-04
-8.058625972e-04,5.000133533e-04
-8.666109643e-04,3.822522704e-04
-8.475149516e-04,2.789212158e-04
-8.564577438e-04,2.100654965e-04
-8.439074736e-04,9.018267883e-05
-8.593247621e-04,-2.179212970e-05
-9.197361069e-04,-1.785853383e-04
-8.689938113e-04,-2.896867518e-04
-8.335501770e-04,-3.789438342e-04
-8.244222263e-04,-4.861814086e-04
-7.177068037e-04,-6.211777800e-04
-6.752522313e-04,-6.640594802e-04
-5.207089707e-04,-7.212003693e-04
-4.263966403e-04,-9.190478595e-04
-3.395224339e-04,-9.165605879e-04
-1.576096402e-04,-8.875154890e-04
-1.164984205e-04,-9.675449110e-04
2.006432806e-05,-9.336487274e-04
1.735443366e-04,-9.087474900e-04
2.426991123e-04,-9.038014105e-04
3.490633098e-04,-8.482601843e-04
5.043280544e-04,-7.994687767e-04
5.904618301e-04,-7.560839294e-04
6.053380203e-04,-7.010458503e-04
7.042593788e-04,-6.204894744e-04
7.560459198e-04,-5.263100611e-04
7.935544127e-04,-3.848772030e-04
8.622819441e-04,-2.879019885e-04
9.058282594e-04,-1.135032508e-04
9.363638237e-04,2.156903429e-05
9.102569311e-04,4.830723265e-05
9.379587136e-04,1.916197944e-04
9.275681805e-04,2.596780832e-04
8.658324950e-04,3.655011533e-04
7.795326528e-04,5.129196215e-04
6.891980884e-04,5.339902709e-04
6.332296180e-04,6.036054692e-04
4.879282205e-04,7.228569593e-04
3.595677845e-04,7.466949173e-04
3.270623274e-04,8.141028811e-04
2.600673179e-04,9.072807734e-04
1.469342969e-04,8.763939259e-04
2.742647121e-05,8.712247945e-04
-8.077470557e-05,8.589877398e-04
-1.827671949e-04,8.842971874e-04
-2.588568896e-04,8.343333611e-04
-3.795371740e-04,7.958043716e-04
-5.486243754e-04,7.840894978e-04
-6.654740428e-04,6.492023240e-04
-7.143413532e-04,6.536452565e-04
-7.609919994e-04,5.586066982e-04
-8.392034797e-04,3.827744222e-04
-8.515876252e-04,3.535821743e-04
-8.977588732e-04,2.455471258e-04
-9.655370959e-04,7.199804531e-05
-8.783258381e-04,-9.540880455e-06
-8.768970729e-04,-1.265566971e-04
-8.628942887e-04,-2.754466259e-04
-7.801829488e-04,-3.952535044e-04
-7.423801580e-04,-4.554607440e-04
-6.637794431e-04,-5.014658091e-04
-6.214957684e-04,-6.772601046e-04
-5.378018832e-04,-7.543750689e-04
-4.226609890e-04,-7.655678201e-04
-2.734008012e-04,-8.730854606e-04
-2.361344086e-04,-8.753354196e-04
-1.154351557e-04,-8.341482608e-04
3.103396739e-05,-9.188816766e-04
9.628219414e-05,-9.061082965e-04
2.531893260e-04,-8.312622667e-04
3.490443341e-04,-8.827877464e-04
4.723257734e-04,-8.288461831e-04
5.844192347e-04,-6.992610870e-04
6.705102860e-04,-6.778012030e-04
7.009509136e-04,-5.645210622e-04
7.727828342e-04,-4.434848088e-04
8.348697447e-04,-3.939481685e-04
8.877195651e-04,-2.918654936e-04
9.347072337e-04,-1.462840009e-04
9.321012767e-04,2.130796565e-05
9.237565682e-04,9.725052223e-05
8.409312577e-04,1.852022542e-04
8.396496996e-04,2.886282455e-04
8.201644523e-04,3.992312413e-04
7.253299700e-04,4.909946001e-04
6.647667615e-04,5.741141504e-04
5.889903405e-04,6.470093504e-04
5.587728228e-04,7.190832985e-04
4.995149211e-04,8.352257428e-04
3.882995807e-04,8.363981615e-04
2.807629353e-04,8.404139080e-04
9.362403944e-05,8.972557262e-04
1.967509888e-05,8.973696386e-04
-8.979345148e-05,9.236426558e-04
-2.554724924e-04,9.015514515e-04
-2.724704391e-04,8.481652476e-04
-4.112072056e-04,8.642898174e-04
-5.446418654e-04,7.898519980e-04
-5.936041125e-04,6.858516135e-04
-6.487751380e-04,5.792501033e-04
-7.342537865e-04,5.011145840e-04
-8.740490302e-04,4.660981067e-04
-9.034501854e-04,2.683787898e-04
-8.976639365e-04,1.370991231e-04
-9.019074496e-04,7.006613305e-05
-9.171538986e-04,-5.995090396e-05
-9.114246350e-04,-1.679099951e-04
-8.866942953e-04,-3.072780382e-04
-7.823047345e-04,-4.106470733e-04
-6.688726717e-04,-5.209510564e-04
-6.188566331e-04,-6.421724684e-04
-5.595939583e-04,-7.226718590e-04
-5.145572359e-04,-7.392758271e-04
-3.966442891e-04,-7.702338626e-04
-3.322884440e-04,-8.898745873e-04
-2.654595592e-04,-8.962161955e-04
-1.112722966e-04,-8.586554904e-04
-2.454521928e-05,-9.063883917e-04
6.608839612e-05,-9.206284885e-04
1.966607961e-04,-8.949156036e-04
2.998969285e-04,-8.337020408e-04
4.695584648e-04,-7.665551384e-04
5.504613509e-04,-7.312776288e-04
5.857768119e-04,-6.998924073e-04
7.225199370e-04,-6.501706666e-04
7.544652908e-04,-5.093880463e-04
8.068499155e-04,-3.812887007e-04
8.956228266e-04,-3.110374382e-04
9.567794041e-04,-1.757420687e-04
8.917922387e-04,-2.781570038e-05
8.659606683e-04,5.018692900e-05
9.110354003e-04,1.779160521e-04
8.235108689e-04,3.105532669e-04
7.868615794e-04,3.751891782e-04
7.411697297e-04,5.274967407e-04
6.790068583e-04,6.285446580e-04
5.945155281e-04,6.728171720e-04
5.120082642e-04,7.467708783e-04
4.077658232e-04,8.159208810e-04
2.872327168e-04,8.651442477e-04
1.782483305e-04,8.556602988e-04
9.550373943e-05,8.381070220e-04
1.935706860e-05,8.828826831e-04
-1.194176439e-04,9.708913858e-04
-2.494489308e-04,8.769160486e-04
-3.740357351e-04,8.258177550e-04
-4.008309043e-04,7.469939883e-04
-5.224415218e-04,6.944811321e-04
-6.398465484e-04,6.351046031e-04
-6.811856292e-04,4.975213087e-04
-8.062328561e-04,5.189099465e-04
-8.536904352e-04,3.188837436e-04
-8.684147033e-04,2.034818172e-04
-8.548771148e-04,1.670176134e-04
-8.604402537e-04,2.850397323e-05
-8.185837651e-04,-2.378099998e-05
-7.933313027e-04,-1.591902983e-04
-8.548628539e-04,-2.458604285e-04
-8.238431183e-04,-3.579491458e-04
-8.030905155e-04,-5.353098386e-04
-6.904084585e-04,-5.699323374e-04
-6.058553699e-04,-6.767426967e-04
-5.752675934e-04,-7.880482008e-04
-4.224379081e-04,-7.433104911e-04
-3.097700828e-04,-8.400199004e-04
-2.285491792e-04,-9.115005960e-04
-1.360595925e-04,-9.201680659e-04
-2.108487024e-05,-9.265429107e-04
9.230445721e-05,-8.950817282e-04
2.030546166e-04,-9.218009072e-04
3.429068311e-04,-8.326577954e-04
4.384865169e-04,-7.773586549e-04
5.235190038e-04,-7.890165434e-04
6.667556590e-04,-6.940729218e-04
7.530365256e-04,-5.799715873e-04
7.906921674e-04,-4.655949597e-04
8.522569551e-04,-3.727161384e-04
9.089895757e-04,-3.194581077e-04
8.921435219e-04,-1.287686609e-04
9.057380958e-04,4.849710240e-05
9.536940488e-04,8.815583715e-05
8.780837525e-04,2.146603074e-04
8.328428958e-04,2.921265550e-04
8.073340869e-04,3.309688764e-04
7.489638519e-04,4.925040412e-04
6.535550347e-04,5.789510324e-04
5.944205914e-04,6.228533457e-04
6.008903147e-04,7.547073765e-04
4.878522595e-04,8.475339273e-04
3.337029775e-04,8.605114417e-04
2.172235399e-04,9.085813654e-04
1.085192052e-04,9.379966650e-04
-4.132007962e-05,9.328654851e-04
-1.382525807e-04,9.512400138e-04
-2.608837385e-04,9.145669173e-04
-3.840370337e-04,8.594339597e-04
-4.387808149e-04,7.730058860e-04
-5.764780217e-04,6.789736799e-04
-6.414272357e-04,6.602669018e-04
-7.175359060e-04,5.582554149e-04
-7.943708333e-04,4.009400727e-04
-8.451368776e-04,4.447331885e-04
-9.105702047e-04,3.272711765e-04
-8.953617653e-04,1.545432751e-04
-9.137504967e-04,1.203622378e-04
-9.469964425e-04,-1.241026475e-04
-9.172108839e-04,-2.231189428e-04
-8.788859705e-04,-2.940204868e-04
-8.476810763e-04,-4.509608552e-04
-7.569383015e-04,-4.973741597e-04
-6.645626272e-04,-6.175512681e-04
-6.320382236e-04,-7.449671393e-04
-5.517287063e-04,-7.758301799e-04
-4.671756178e-04,-7.472692523e-04
-3.842981241e-04,-8.263731143e-04
-2.635988640e-04,-9.152741986e-04
-1.440720371e-04,-8.848715224e-04
1.615779001e-05,-8.903967100e-04
1.383095369e-04,-9.122267948e-04
2.292754216e-04,-9.841299616e-04
3.290559398e-04,-9.557019221e-04
4.803429765e-04,-8.033516351e-04
5.794162280e-04,-7.707749610e-04
6.479918957e-04,-6.658442435e-04
7.012119750e-04,-5.394917098e-04
7.867096574e-04,-5.244303611e-04
8.782878867e-04,-3.869040520e-04
8.693450945e-04,-2.574281243e-04
8.799255011e-04,-2.108107292e-04
8.872923790e-04,-2.943432810e-05
8.861389360e-04,6.143662176e-05
9.175621090e-04,1.868778345e-04
8.972936776e-04,3.744439455e-04
7.822477492e-04,4.281291913e-04
7.647893508e-04,4.906813265e-04
7.305561448e-04,6.450536894e-04
6.394762895e-04,7.016012096e-04
5.186299095e-04,7.169425371e-04
4.267146869e-04,8.624860784e-04
