I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
1.964899129e-04,3.619748168e-03
-4.394026109e-05,3.567567794e-03
-2.710749104e-04,3.434000071e-03
-5.541067803e-04,3.155003069e-03
-1.004588208e-03,2.784465440e-03
-1.563342055e-03,2.296575345e-03
-2.201294759e-03,1.647705212e-03
-2.701943973e-03,1.076249289e-03
-3.154110629e-03,5.168261705e-04
-3.597453004e-03,1.428996038e-04
-3.805676708e-03,-8.631886158e-05
-3.862020094e-03,-2.458983799e-04
-3.787230933e-03,-2.514947555e-04
-3.489603056e-03,-2.360252402e-04
-3.168692347e-03,-2.423858241e-04
-2.756331814e-03,-4.639431136e-04
-2.275988925e-03,-7.804629859e-04
-1.808737288e-03,-1.065891935e-03
-1.295575639e-03,-1.589187887e-03
-7.924911333e-04,-2.038420876e-03
-3.125801159e-04,-2.404947300e-03
3.741354158e-05,-2.804938005e-03
4.416810407e-04,-3.129214048e-03
7.019192562e-04,-3.489750205e-03
8.049892494e-04,-3.629844403e-03
8.900596877e-04,-3.663427429e-03
7.862065104e-04,-3.659668146e-03
7.137053180e-04,-3.468010342e-03
7.381793112e-04,-3.148049116e-03
9.347262094e-04,-2.759811236e-03
1.458767336e-03,-2.265522256e-03
2.116964664e-03,-1.646333490e-03
2.778888214e-03,-9.711524472e-04
3.400288988e-03,-4.489150306e-04
3.715712344e-03,-6.508209481e-05
3.661975032e-03,2.223594638e-04
3.336175345e-03,2.090069902e-04
2.784114331e-03,1.217577737e-04
2.263139468e-03,1.473994780e-04
1.786627108e-03,4.036931496e-04
1.472822390e-03,9.202582296e-04
1.354002743e-03,1.640457078e-03
1.226591645e-03,2.458983799e-03
1.158215338e-03,3.107550088e-03
1.046069665e-03,3.482440254e-03
9.523364715e-04,3.453043988e-03
8.107185131e-04,3.092080588e-03
6.271111197e-04,2.610380063e-03
4.610570904e-04,2.208248712e-03
2.347958361e-04,1.990873134e-03
4.879139669e-05,1.956881955e-03
-2.122584847e-04,2.156742150e-03
-5.011667963e-04,2.453515772e-03
-7.909864653e-04,2.698094584e-03
-1.113420702e-03,2.818603767e-03
-1.352180028e-03,2.727509709e-03
-1.625690027e-03,2.495704452e-03
-1.813759329e-03,2.158379648e-03
-1.910359482e-03,1.658902736e-03
-2.069122624e-03,1.163849724e-03
-2.138163429e-03,6.074360572e-04
-2.071799710e-03,-3.042164280e-05
-2.092348179e-03,-6.306616706e-04
-2.138462616e-03,-1.300056465e-03
-2.115459880e-03,-1.826366526e-03
-2.220912836e-03,-2.272495301e-03
-2.295905957e-03,-2.716297982e-03
-2.340828767e-03,-2.956913318e-03
-2.390996786e-03,-3.077541478e-03
-2.281884197e-03,-3.042411059e-03
-2.073807642e-03,-2.882053144e-03
-1.738058869e-03,-2.590614837e-03
-1.312013483e-03,-2.283037640e-03
-9.475185652e-04,-2.112317597e-03
-3.550299152e-04,-2.025443362e-03
3.246082633e-04,-2.147258259e-03
9.481688612e-04,-2.389473142e-03
1.697075786e-03,-2.696342999e-03
2.271935111e-03,-2.985403175e-03
2.586822258e-03,-3.028859152e-03
2.589741489e-03,-2.945625689e-03
2.370728413e-03,-2.643184504e-03
2.156034810e-03,-2.241105307e-03
1.885999460e-03,-1.790979877e-03
1.842006925e-03,-1.117213396e-03
2.118341159e-03,-5.312181893e-04
2.578824060e-03,1.235805103e-04
3.210416064e-03,7.832160918e-04
3.636390204e-03,1.303796889e-03
3.656900721e-03,1.737000304e-03
3.370517632e-03,1.952310908e-03
2.730319975e-03,1.973509789e-03
1.853161724e-03,1.774636912e-03
1.083203242e-03,1.695960294e-03
5.057995440e-04,1.851842157e-03
2.608125506e-04,2.146664774e-03
3.497895668e-04,2.587956609e-03
5.678485031e-04,3.063685726e-03
7.702148287e-04,3.403953509e-03
7.258663536e-04,3.548044479e-03
4.847479286e-04,3.430952784e-03
-1.309141680e-05,2.967047505e-03
-6.267409190e-04,2.483230084e-03
-1.112381229e-03,1.887300052e-03
-1.568197971e-03,1.336520654e-03
-1.818316174e-03,9.971833788e-04
-1.844736282e-03,7.118303329e-04
-1.917498535e-03,5.034166970e-04
-1.996080391e-03,2.389064903e-04
-2.127754036e-03,-2.687110646e-05
-2.515621483e-03,-3.526138316e-04
-2.967678942e-03,-6.623317022e-04
-3.370982828e-03,-9.494362748e-04
-3.650853410e-03,-1.248364802e-03
-3.625828773e-03,-1.574591734e-03
-3.297532210e-03,-1.977653475e-03
-2.675405238e-03,-2.288335003e-03
-1.996697392e-03,-2.645823639e-03
-1.358350739e-03,-2.965970198e-03
-7.924199454e-04,-3.174844198e-03
-6.082002656e-04,-3.468736541e-03
-5.583835882e-04,-3.623688128e-03
-6.190987187e-04,-3.718854627e-03
-7.982584066e-04,-3.664595075e-03
-6.655262550e-04,-3.462247783e-03
-3.340732073e-04,-3.158890409e-03
8.466225700e-05,-2.628009301e-03
6.370982155e-04,-2.097218297e-03
1.183391898e-03,-1.573476242e-03
1.602616278e-03,-1.280813362e-03
1.765675144e-03,-1.168553717e-03
1.705686329e-03,-1.240627724e-03
1.647743280e-03,-1.487736474e-03
1.687425654e-03,-1.509642578e-03
1.854182221e-03,-1.311567263e-03
2.226656303e-03,-8.565147291e-04
2.766765188e-03,-1.389028766e-04
3.248256864e-03,5.688358215e-04
3.546335734e-03,1.229135902e-03
3.645147895e-03,1.783503802e-03
3.336156253e-03,2.011274453e-03
2.647997811e-03,2.059956780e-03
1.841949997e-03,2.113376278e-03
1.087427721e-03,2.012071898e-03
5.972116487e-04,1.910245628e-03
3.189217241e-04,1.994447550e-03
2.488745668e-04,1.917873626e-03
3.074489359e-04,1.910786727e-03
3.868281201e-04,1.988347853e-03
3.983578645e-04,2.063839464e-03
2.338132763e-04,2.253081184e-03
-8.972224896e-05,2.492153784e-03
-4.963536048e-04,2.788296202e-03
-8.099543047e-04,2.867214847e-03
-1.178279752e-03,2.826398006e-03
-1.508992282e-03,2.494607819e-03
-1.660165377e-03,1.858202741e-03
-1.867686631e-03,1.170063158e-03
-2.182996133e-03,4.545303818e-04
-2.360000741e-03,-1.477365004e-04
-2.385419328e-03,-6.534600980e-04
-2.479641465e-03,-1.021899516e-03
-2.537546679e-03,-1.319546485e-03
-2.409855369e-03,-1.505047781e-03
-2.188222250e-03,-1.803772291e-03
-1.966997283e-03,-2.204493852e-03
-1.656054752e-03,-2.442042809e-03
-1.398759545e-03,-2.741047414e-03
-1.138151041e-03,-3.018444870e-03
-9.323813138e-04,-3.217336722e-03
-8.621490560e-04,-3.408415476e-03
-7.673525834e-04,-3.544978099e-03
-7.966587436e-04,-3.615395632e-03
-7.252730429e-04,-3.611564869e-03
-5.164701724e-04,-3.448097734e-03
-2.900047984e-04,-3.123783972e-03
1.339045957e-05,-2.678120276e-03
3.917931754e-04,-2.203843556e-03
8.777134935e-04,-1.787576475e-03
1.343716634e-03,-1.420907676e-03
1.877835137e-03,-1.128538977e-03
2.440163167e-03,-8.581333677e-04
2.879912267e-03,-6.504649646e-04
3.304248909e-03,-4.410877009e-04
3.632763634e-03,-1.940738439e-04
3.812037408e-03,1.108450888e-04
3.811904462e-03,4.648164904e-04
3.686463227e-03,8.709257236e-04
3.528336063e-03,1.285147038e-03
3.308653831e-03,1.627142541e-03
3.200803883e-03,1.993588172e-03
3.124453127e-03,2.299290383e-03
2.933464712e-03,2.649431350e-03
2.749525011e-03,2.884616377e-03
2.362231724e-03,2.968927380e-03
1.801859355e-03,3.039159579e-03
1.158049214e-03,2.885157475e-03
3.448245116e-04,2.700268524e-03
-3.949354868e-04,2.525717719e-03
-1.032479922e-03,2.325174166e-03
-1.562876860e-03,2.220390597e-03
-1.995040802e-03,2.180599142e-03
-2.326659858e-03,2.048740163e-03
-2.597905695e-03,1.878043986e-03
-2.749582054e-03,1.736368984e-03
-2.684053732e-03,1.428416930e-03
-2.650788752e-03,1.117123174e-03
-2.547101816e-03,7.717622793e-04
-2.316487720e-03,3.489683731e-04
-2.259683795e-03,-5.245585271e-05
-2.265688498e-03,-5.001082318e-04
-2.298934385e-03,-9.196079336e-04
-2.401786158e-03,-1.359115005e-03
-2.409205073e-03,-1.753680292e-03
-2.298488282e-03,-2.016666811e-03
-2.018266357e-03,-2.029292984e-03
-1.644173753e-03,-1.920308685e-03
-1.273541362e-03,-1.889606938e-03
-8.855598280e-04,-1.823466271e-03
-6.063775509e-04,-1.930889091e-03
-5.235570134e-04,-2.162765712e-03
-5.372417509e-04,-2.461642027e-03
-6.717966171e-04,-2.855965169e-03
-7.294406532e-04,-3.155544167e-03
-5.713658174e-04,-3.399766982e-03
-3.355826484e-04,-3.550237510e-03
2.603093890e-05,-3.512135707e-03
3.947503574e-04,-3.327436512e-03
8.283240604e-04,-3.069951432e-03
1.199217397e-03,-2.674479503e-03
1.422711415e-03,-2.172045410e-03
1.743432134e-03,-1.644581906e-03
2.026520902e-03,-1.045348239e-03
2.241124399e-03,-4.358093720e-04
2.402455313e-03,1.607709564e-04
2.443974838e-03,6.743598497e-04
2.337852726e-03,1.020969125e-03
2.186437370e-03,1.335182111e-03
2.052684780e-03,1.602744451e-03
1.960195135e-03,1.838005497e-03
2.091603121e-03,2.238969319e-03
2.344977576e-03,2.516865265e-03
2.600786975e-03,2.756815869e-03
2.714921487e-03,3.028802341e-03
2.456396818e-03,3.096784698e-03
1.901245909e-03,3.024188569e-03
1.070766826e-03,2.810999751e-03
