I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-2.751627937e-03,-8.787345141e-03
-1.656372799e-03,-9.080307558e-03
-5.269983667e-04,-9.174989536e-03
6.831175415e-04,-9.110951796e-03
1.784861321e-03,-9.023370221e-03
2.908663126e-03,-8.716424927e-03
3.973050509e-03,-8.262079209e-03
4.941430874e-03,-7.741683628e-03
5.929448176e-03,-7.041492499e-03
6.780309603e-03,-6.237044465e-03
7.502179127e-03,-5.302655045e-03
8.107256144e-03,-4.387005698e-03
8.582615294e-03,-3.341866657e-03
8.909178898e-03,-2.199752023e-03
9.124394506e-03,-1.070671831e-03
9.220752865e-03,1.046126636e-04
9.148626588e-03,1.189624309e-03
8.894825354e-03,2.316397615e-03
8.476478979e-03,3.505575703e-03
8.016015403e-03,4.526468925e-03
7.375959773e-03,5.503925029e-03
6.607434712e-03,6.415591575e-03
5.788817536e-03,7.208809257e-03
4.807046615e-03,7.867832668e-03
3.745948896e-03,8.398152888e-03
2.670368878e-03,8.828048594e-03
1.585713238e-03,9.041089565e-03
5.014278577e-04,9.191204794e-03
-6.794388173e-04,9.202530608e-03
-1.851115841e-03,9.048063308e-03
-2.969297580e-03,8.738905191e-03
-4.022658337e-03,8.295714855e-03
-4.957066383e-03,7.723219227e-03
-5.944528617e-03,7.012447342e-03
-6.831241772e-03,6.181241944e-03
-7.538496517e-03,5.314479116e-03
-8.151030168e-03,4.360376857e-03
-8.647384122e-03,3.229217604e-03
-8.947204798e-03,2.154435264e-03
-9.143956006e-03,1.031511580e-03
-9.215047583e-03,-1.416749583e-04
-9.100186639e-03,-1.270788256e-03
-8.889432997e-03,-2.394661307e-03
-8.478111587e-03,-3.471750766e-03
-7.981221192e-03,-4.573214334e-03
-7.409912534e-03,-5.507622845e-03
-6.659629289e-03,-6.371409167e-03
-5.796383601e-03,-7.216451224e-03
-4.846278112e-03,-7.827945985e-03
-3.841936821e-03,-8.377922699e-03
-2.707369626e-03,-8.823382668e-03
-1.576172421e-03,-9.096356109e-03
-4.523943644e-04,-9.111602791e-03
7.323598838e-04,-9.151992388e-03
1.823931467e-03,-9.070543572e-03
2.999852179e-03,-8.665715344e-03
4.048005678e-03,-8.264699951e-03
4.976684693e-03,-7.675913628e-03
5.966396537e-03,-7.035411894e-03
6.783750840e-03,-6.233493797e-03
7.540598977e-03,-5.266299937e-03
8.148353547e-03,-4.334977362e-03
8.638811298e-03,-3.239499172e-03
8.993878961e-03,-2.167953877e-03
9.092354216e-03,-1.043596654e-03
9.186908603e-03,1.317258575e-04
9.166417643e-03,1.267370651e-03
8.927344345e-03,2.431481378e-03
8.511490189e-03,3.486403730e-03
8.003497496e-03,4.566075280e-03
7.387081161e-03,5.534830969e-03
6.624745671e-03,6.388535257e-03
5.757076200e-03,7.193396334e-03
4.828392528e-03,7.811246905e-03
3.794930177e-03,8.392931893e-03
2.682121703e-03,8.813286200e-03
1.643523457e-03,9.066897444e-03
4.630839394e-04,9.186239913e-03
-7.360955351e-04,9.114854038e-03
-1.847100211e-03,9.032982402e-03
-2.930028131e-03,8.784592152e-03
-3.973363433e-03,8.237776347e-03
-5.017297342e-03,7.676677778e-03
-5.924150813e-03,7.025353611e-03
-6.727801636e-03,6.204799749e-03
-7.500788663e-03,5.316173658e-03
-8.131934330e-03,4.341152497e-03
-8.599257097e-03,3.301643068e-03
-8.923271671e-03,2.211727900e-03
-9.107657708e-03,1.056018751e-03
-9.205824696e-03,-1.173148557e-04
-9.129322134e-03,-1.278264332e-03
-8.908490650e-03,-2.404757543e-03
-8.538361639e-03,-3.473350313e-03
-8.050096221e-03,-4.527992569e-03
-7.396209054e-03,-5.503345747e-03
-6.593654864e-03,-6.420556922e-03
-5.731263664e-03,-7.172254845e-03
-4.779302049e-03,-7.787313778e-03
-3.770845477e-03,-8.369985968e-03
-2.671764465e-03,-8.787102997e-03
