I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-1.515181968e-03,-5.273116403e-04
-1.480464591e-03,-6.135545555e-04
-1.426727045e-03,-7.799408631e-04
-1.324957702e-03,-1.025450067e-03
-1.122088172e-03,-1.219523838e-03
-9.220810025e-04,-1.281259465e-03
-8.886451833e-04,-1.375068678e-03
-6.608222611e-04,-1.452981145e-03
-4.518342612e-04,-1.574833877e-03
-2.539487905e-04,-1.609142986e-03
-4.333743163e-06,-1.563266153e-03
1.210694973e-04,-1.600883785e-03
3.711734607e-04,-1.576618641e-03
5.746172974e-04,-1.545693842e-03
6.942010950e-04,-1.440411899e-03
8.862670511e-04,-1.382748829e-03
1.114408020e-03,-1.251972397e-03
1.232150127e-03,-1.046036487e-03
1.347846352e-03,-9.195319726e-04
1.495881821e-03,-7.623305428e-04
1.499527367e-03,-5.832468159e-04
1.572436769e-03,-3.961838665e-04
1.627569785e-03,-1.700887369e-04
1.622400596e-03,5.299698023e-05
1.632625004e-03,2.335522004e-04
1.558619086e-03,4.235533706e-04
1.440226682e-03,6.272582687e-04
1.405860530e-03,8.301467751e-04
1.360809547e-03,1.019943855e-03
1.198809245e-03,1.184768509e-03
1.013141824e-03,1.285683480e-03
8.486114675e-04,1.427989686e-03
6.780622643e-04,1.526896842e-03
4.142165999e-04,1.582067809e-03
2.230287500e-04,1.637461828e-03
2.604992551e-05,1.616021036e-03
-1.796628494e-04,1.643428463e-03
-3.361190320e-04,1.603394747e-03
-5.740429624e-04,1.525520347e-03
-7.754219696e-04,1.444076304e-03
-9.293149342e-04,1.319826464e-03
-1.068255864e-03,1.206209301e-03
-1.227854285e-03,1.077198656e-03
-1.361421891e-03,9.072427638e-04
-1.432712656e-03,7.061010692e-04
-1.459246734e-03,5.554073723e-04
-1.544578350e-03,3.768078168e-04
-1.613267930e-03,1.803890918e-04
-1.608715858e-03,5.672314273e-06
-1.631234190e-03,-2.128945343e-04
-1.564196427e-03,-4.549053847e-04
-1.436657156e-03,-6.060072919e-04
-1.382767805e-03,-7.436807500e-04
-1.364417025e-03,-9.623947553e-04
-1.162473229e-03,-1.171363750e-03
-9.411390056e-04,-1.303497818e-03
-8.576491964e-04,-1.385373762e-03
-6.556530716e-04,-1.467952272e-03
-4.357524158e-04,-1.543111634e-03
-2.675243886e-04,-1.621356350e-03
-4.513168460e-05,-1.657616347e-03
1.702358859e-04,-1.609214232e-03
3.605930542e-04,-1.610571751e-03
5.012426991e-04,-1.537254197e-03
7.192494813e-04,-1.426409115e-03
9.511450771e-04,-1.385577838e-03
1.080488088e-03,-1.208720380e-03
1.210766146e-03,-1.038019313e-03
1.340783201e-03,-9.153691353e-04
1.413298654e-03,-7.804629859e-04
1.543481834e-03,-6.149690598e-04
1.641145325e-03,-3.485032066e-04
1.574795810e-03,-1.241216232e-04
1.608340885e-03,3.849104542e-05
1.616206137e-03,2.370647708e-04
1.540415455e-03,4.317556741e-04
1.509490656e-03,6.543524796e-04
1.419251086e-03,8.278588648e-04
1.310062595e-03,1.011817483e-03
1.166787930e-03,1.167998300e-03
1.007540734e-03,1.207903959e-03
8.620588924e-04,1.372021274e-03
6.645958638e-04,1.443592133e-03
4.711201182e-04,1.581341610e-03
2.747583494e-04,1.616263064e-03
7.130977610e-05,1.546348794e-03
-1.213875294e-04,1.689803787e-03
-4.194427165e-04,1.564960694e-03
-5.553172086e-04,1.484428067e-03
-6.804403965e-04,1.495416625e-03
-9.215588216e-04,1.382895978e-03
-1.047726255e-03,1.232297276e-03
-1.250244561e-03,1.046738937e-03
-1.391691621e-03,9.422212606e-04
-1.472300268e-03,7.622214034e-04
-1.540154335e-03,5.975249223e-04
-1.602763426e-03,3.618556948e-04
-1.663867850e-03,1.503376843e-04
-1.595994690e-03,-3.365889643e-05
-1.631030114e-03,-2.792202577e-04
-1.553506823e-03,-4.092373129e-04
-1.453821314e-03,-6.795290392e-04
-1.400658162e-03,-7.971808664e-04
-1.246637083e-03,-9.178421460e-04
-1.172830467e-03,-1.159947948e-03
-1.019611605e-03,-1.299296971e-03
-8.373048040e-04,-1.429385273e-03
-6.686353008e-04,-1.447849907e-03
-4.518722126e-04,-1.564381528e-03
-2.689009416e-04,-1.641643699e-03
-6.060120359e-05,-1.618142822e-03
1.050066421e-04,-1.625319826e-03
3.402486618e-04,-1.561742392e-03
5.814241013e-04,-1.515329117e-03
7.074586465e-04,-1.442011446e-03
9.196649189e-04,-1.346208737e-03
1.048618695e-03,-1.280628261e-03
1.224712003e-03,-1.108531607e-03
1.342753065e-03,-9.012381779e-04
1.403852715e-03,-7.235452067e-04
1.571487403e-03,-5.335250753e-04
1.560346922e-03,-3.502357577e-04
1.594285830e-03,-1.654749358e-04
1.661152695e-03,1.100761256e-05
1.627365593e-03,2.288292308e-04
1.590009080e-03,4.353774129e-04
1.543780905e-03,5.904997815e-04
1.435204758e-03,8.003042312e-04
1.319190487e-03,9.898782009e-04
1.190981944e-03,1.133337850e-03
9.803562425e-04,1.278060256e-03
7.911003777e-04,1.379867550e-03
6.193217705e-04,1.499764621e-03
4.497552000e-04,1.586491708e-03
2.450059983e-04,1.596758841e-03
8.261642506e-05,1.623720163e-03
-1.187815869e-04,1.667750650e-03
-3.545125364e-04,1.565055572e-03
-5.434172344e-04,1.489407383e-03
-7.502264925e-04,1.473657787e-03
-8.815251058e-04,1.331987558e-03
-1.067453646e-03,1.228523557e-03
-1.210281975e-03,1.074407599e-03
-1.355692628e-03,8.872164181e-04
-1.459564781e-03,7.206260343e-04
-1.513971598e-03,5.181457382e-04
-1.635098015e-03,3.768790048e-04
-1.616021036e-03,1.724288595e-04
-1.644097734e-03,-3.417628614e-05
-1.658494584e-03,-2.558095148e-04
-1.556948293e-03,-4.790233797e-04
-1.457723090e-03,-6.332296180e-04
-1.414100872e-03,-8.228938095e-04
-1.265172963e-03,-9.489140939e-04
-1.089321682e-03,-1.169393887e-03
-1.037331065e-03,-1.316551236e-03
-8.711108239e-04,-1.402960275e-03
-6.177221658e-04,-1.520033111e-03
-3.937108268e-04,-1.568008098e-03
-2.609027142e-04,-1.638188143e-03
-7.268631452e-05,-1.653007348e-03
1.558628574e-04,-1.656576875e-03
3.508290974e-04,-1.594599104e-03
5.291913403e-04,-1.534111798e-03
7.422709605e-04,-1.453299192e-03
9.706112905e-04,-1.403387520e-03
1.109832199e-03,-1.226197695e-03
1.230327412e-03,-1.025003847e-03
1.304537407e-03,-9.101809701e-04
1.407013973e-03,-6.856475375e-04
1.556051080e-03,-5.606525228e-04
1.610348700e-03,-3.459209984e-04
1.547739608e-03,-1.514199394e-04
1.561908517e-03,3.389623089e-05
1.615930814e-03,3.148490505e-04
1.546367886e-03,4.592913319e-04
1.476320671e-03,6.235226174e-04
1.406325726e-03,7.958423230e-04
1.302216202e-03,9.601638303e-04
1.157137915e-03,1.132630627e-03
1.032498898e-03,1.298665651e-03
8.314331062e-04,1.414210070e-03
6.103220512e-04,1.494614524e-03
4.394880671e-04,1.545992796e-03
2.789971768e-04,1.584540820e-03
1.130000965e-04,1.661931165e-03
-1.808922389e-04,1.651725732e-03
-3.685105767e-04,1.616633381e-03
-5.254176795e-04,1.516686636e-03
-7.235262310e-04,1.379307476e-03
-9.177472093e-04,1.318226918e-03
-1.072233543e-03,1.212384785e-03
-1.212456031e-03,1.065151417e-03
-1.312146313e-03,9.143628413e-04
-1.443388057e-03,7.246796740e-04
-1.531956834e-03,5.799336359e-04
-1.531956834e-03,3.454937832e-04
-1.644339878e-03,9.905427578e-05
-1.632069587e-03,-2.900712389e-05
-1.592667191e-03,-2.213151893e-04
-1.551180962e-03,-4.298000422e-04
-1.519349520e-03,-6.328736199e-04
-1.460438245e-03,-8.513455396e-04
-1.312388456e-03,-1.013103873e-03
-1.179323997e-03,-1.172626391e-03
-9.689594735e-04,-1.279977965e-03
-7.887934335e-04,-1.419792185e-03
-6.811476196e-04,-1.516074291e-03
-4.826308868e-04,-1.521651749e-03
-2.369935683e-04,-1.615313697e-03
-6.283215771e-05,-1.589728985e-03
1.002077261e-04,-1.610704698e-03
3.106102522e-04,-1.612750464e-03
5.746362731e-04,-1.482434454e-03
7.873599534e-04,-1.420238288e-03
9.228452109e-04,-1.376055996e-03
1.097913249e-03,-1.266103238e-03
1.222276944e-03,-1.027699909e-03
1.329068327e-03,-9.029660141e-04
1.461738837e-03,-7.279121783e-04
1.539076911e-03,-5.203956971e-04
1.584763988e-03,-4.140694509e-04
1.588779618e-03,-1.363538904e-04
1.571596600e-03,6.007906632e-05
1.613419852e-03,2.392055321e-04
1.612840686e-03,4.340198648e-04
1.488462789e-03,6.089454982e-04
1.385445008e-03,8.351687575e-04
1.248848974e-03,9.912167443e-04
1.109984121e-03,1.226999913e-03
9.799670661e-04,1.323951408e-03
7.593781338e-04,1.393125160e-03
6.389731425e-04,1.549638342e-03
4.457205068e-04,1.547872555e-03
2.457702358e-04,1.588670537e-03
6.017399937e-05,1.627716934e-03
-1.378063898e-04,1.633465174e-03
-3.564824001e-04,1.585732214e-03
-6.064724876e-04,1.524162712e-03
-7.130550221e-04,1.448666328e-03
-9.329793975e-04,1.360828523e-03
-1.081328257e-03,1.259519602e-03
-1.169949304e-03,1.073311083e-03
-1.313128858e-03,8.692358970e-04
-1.431749086e-03,7.205310976e-04
-1.523493440e-03,5.561716389e-04
-1.585229067e-03,2.825476986e-04
-1.614886569e-03,6.907882198e-05
-1.649974147e-03,-5.411245365e-05
-1.643243362e-03,-2.141381701e-04
-1.541530946e-03,-4.587169678e-04
-1.467263908e-03,-6.250083679e-04
-1.413113554e-03,-8.525180165e-04
-1.261992613e-03,-1.027215738e-03
-1.031772583e-03,-1.093005179e-03
-9.853782831e-04,-1.300279517e-03
-8.440403617e-04,-1.410175348e-03
-5.912212655e-04,-1.475945697e-03
