I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
4.752260284e-04,1.537254197e-03
2.410804736e-04,1.627773861e-03
5.446371142e-05,1.642464893e-03
-1.341799070e-04,1.629577600e-03
-4.057010228e-04,1.592757413e-03
-6.015975960e-04,1.539243036e-03
-7.620552788e-04,1.496608136e-03
-9.031131631e-04,1.331185340e-03
-1.067586476e-03,1.184288994e-03
-1.219803933e-03,1.066694153e-03
-1.352977473e-03,9.234385216e-04
-1.487366273e-03,8.183416794e-04
-1.516501536e-03,5.596509436e-04
-1.597428112e-03,3.306888102e-04
-1.627569785e-03,1.729889773e-04
-1.665467396e-03,-9.014944953e-05
-1.643803436e-03,-2.955631644e-04
-1.534334966e-03,-4.523374082e-04
-1.460124971e-03,-6.496864953e-04
-1.389740733e-03,-8.526461315e-04
-1.318041701e-03,-9.793547215e-04
-1.158642583e-03,-1.125377719e-03
-1.033092150e-03,-1.259965822e-03
-8.670049720e-04,-1.373193692e-03
-6.760876859e-04,-1.484537264e-03
-4.303221649e-04,-1.575522125e-03
-2.023141278e-04,-1.632368658e-03
-4.154317503e-05,-1.607913640e-03
2.087459143e-04,-1.601814060e-03
3.959228052e-04,-1.560944947e-03
5.941595300e-04,-1.550976885e-03
7.711641956e-04,-1.471222728e-03
9.326614090e-04,-1.296301838e-03
1.160688465e-03,-1.203774242e-03
1.228281530e-03,-1.081290306e-03
1.343996730e-03,-8.949867915e-04
1.504283515e-03,-7.299580029e-04
1.583074103e-03,-5.239841994e-04
1.656334731e-03,-3.081894247e-04
1.659348956e-03,-1.321340678e-04
1.650145045e-03,1.150459284e-04
1.669464167e-03,3.350415500e-04
1.585286111e-03,5.159717402e-04
1.478252583e-03,6.566973752e-04
1.393609331e-03,8.217972936e-04
1.282450976e-03,1.050237333e-03
1.114018844e-03,1.168107498e-03
9.760605171e-04,1.318468945e-03
8.586554904e-04,1.424567308e-03
6.093726843e-04,1.489203190e-03
4.640332772e-04,1.556872274e-03
2.699594479e-04,1.583648496e-03
6.583682080e-06,1.561111072e-03
-1.697896951e-04,1.580169075e-03
-3.368263133e-04,1.569403568e-03
-5.632726825e-04,1.543966006e-03
-7.953771274e-04,1.485282439e-03
-9.014945244e-04,1.339980983e-03
-1.051390776e-03,1.214297721e-03
-1.273674308e-03,1.054086839e-03
-1.371722203e-03,8.505101432e-04
-1.444726600e-03,6.741367397e-04
-1.566095161e-03,5.900536198e-04
-1.616282039e-03,3.493243712e-04
-1.631903462e-03,1.006159364e-04
-1.624930534e-03,-6.000786379e-05
-1.548484899e-03,-2.277849562e-04
-1.526393695e-03,-4.811024410e-04
-1.499375445e-03,-6.928624935e-04
-1.369676436e-03,-8.120191051e-04
-1.289551961e-03,-1.031658729e-03
-1.132758800e-03,-1.177036087e-03
-9.397292160e-04,-1.351230778e-03
-8.224855992e-04,-1.442922861e-03
-6.016545813e-04,-1.503856271e-03
-4.211183114e-04,-1.634319546e-03
-2.140242577e-04,-1.612769556e-03
-1.374171552e-05,-1.626416342e-03
1.554356568e-04,-1.642835094e-03
4.065032117e-04,-1.560479752e-03
5.675494904e-04,-1.532569178e-03
7.347379578e-04,-1.487774542e-03
9.503998444e-04,-1.353110420e-03
1.116211759e-03,-1.220957376e-03
1.237822464e-03,-1.079097274e-03
1.405917574e-03,-9.330506437e-04
1.493480057e-03,-7.209012983e-04
1.525890548e-03,-5.114148953e-04
1.660350477e-03,-3.534302814e-04
1.621171134e-03,-9.115100693e-05
1.618645969e-03,1.037392722e-04
1.622566720e-03,2.329208946e-04
1.503225067e-03,4.822179326e-04
1.498578000e-03,6.780432886e-04
1.391639467e-03,8.161629667e-04
1.254298259e-03,1.002504374e-03
1.091310522e-03,1.186724170e-03
9.111635736e-04,1.363538904e-03
8.081505075e-04,1.436524326e-03
6.546515506e-04,1.501478255e-03
4.409215762e-04,1.582903205e-03
2.493017819e-04,1.642873161e-03
2.588379175e-05,1.628500060e-03
-2.016400977e-04,1.599920215e-03
-3.691086604e-04,1.629800652e-03
-5.715889274e-04,1.521447673e-03
-7.511758013e-04,1.394724823e-03
-9.745558491e-04,1.341708819e-03
-1.068312791e-03,1.224674052e-03
-1.191167044e-03,1.013830071e-03
-1.377095585e-03,8.324346854e-04
-1.398204127e-03,7.194156060e-04
-1.527661108e-03,5.454962957e-04
-1.630023820e-03,3.108523088e-04
-1.612565364e-03,1.116805142e-04
-1.596905990e-03,-7.714822277e-05
-1.595733571e-03,-3.102542250e-04
-1.589097665e-03,-5.276676384e-04
-1.459954074e-03,-6.359067629e-04
-1.359058078e-03,-8.106046007e-04
-1.307921717e-03,-1.019089366e-03
-1.166436705e-03,-1.164390822e-03
-9.953083936e-04,-1.242877683e-03
-7.900370983e-04,-1.381410286e-03
-6.167158717e-04,-1.519496669e-03
-4.667863832e-04,-1.519719837e-03
-2.723232901e-04,-1.662173192e-03
-2.194402441e-05,-1.636384404e-03
2.318196493e-04,-1.578275231e-03
3.593066940e-04,-1.619775663e-03
5.480832187e-04,-1.495900797e-03
7.909864653e-04,-1.409468008e-03
9.357847157e-04,-1.288322615e-03
1.087926212e-03,-1.217197976e-03
1.258779084e-03,-1.094865846e-03
1.352346153e-03,-9.121318581e-04
1.429793425e-03,-6.904844195e-04
1.536694006e-03,-4.550335289e-04
1.595605398e-03,-2.863403352e-04
1.617786824e-03,-9.587397653e-05
1.597409137e-03,9.485343617e-05
1.614905545e-03,3.298723605e-04
1.579001429e-03,4.772528773e-04
1.468915842e-03,6.979746977e-04
1.386560500e-03,8.722073399e-04
1.244235202e-03,9.937087307e-04
1.119667431e-03,1.213685377e-03
9.994712891e-04,1.279474702e-03
7.972521125e-04,1.438978361e-03
6.177411415e-04,1.545973821e-03
4.407744273e-04,1.518547419e-03
2.037618688e-04,1.605867757e-03
2.307848808e-05,1.635378110e-03
-2.129847271e-04,1.625224832e-03
-3.703712719e-04,1.581009245e-03
-5.215301644e-04,1.530803391e-03
-8.191201487e-04,1.447052462e-03
-9.292959585e-04,1.323244185e-03
-1.090883394e-03,1.202397747e-03
-1.250742935e-03,1.063699019e-03
-1.351007610e-03,9.519235464e-04
-1.516615506e-03,7.667212631e-04
-1.549562323e-03,5.253607524e-04
-1.573011046e-03,3.054932749e-04
-1.679968671e-03,1.134083141e-04
-1.658119494e-03,-1.110492012e-04
-1.592999441e-03,-2.765051613e-04
-1.528458553e-03,-4.205392033e-04
-1.432712656e-03,-7.006708765e-04
-1.389612560e-03,-8.947257302e-04
-1.253348892e-03,-1.045865589e-03
-1.124950475e-03,-1.167533221e-03
-9.716935456e-04,-1.265509985e-03
-7.847777451e-04,-1.379886642e-03
-5.920804688e-04,-1.481133862e-03
-4.246118770e-04,-1.606760197e-03
-2.419016673e-04,-1.616728259e-03
-3.534872303e-05,-1.630564919e-03
1.806501532e-04,-1.652651350e-03
4.042722576e-04,-1.556240954e-03
5.200064625e-04,-1.491211122e-03
7.869896945e-04,-1.460310072e-03
9.688455611e-04,-1.351695857e-03
1.049715211e-03,-1.173964934e-03
1.259671524e-03,-1.019573538e-03
1.349593163e-03,-9.166697273e-04
1.470496529e-03,-7.064380916e-04
1.561894314e-03,-5.186109338e-04
1.564571401e-03,-3.464241454e-04
1.650757389e-03,-1.070524740e-04
1.682683709e-03,6.009805293e-05
1.637870097e-03,2.657016448e-04
1.577847986e-03,4.594432248e-04
1.454044366e-03,6.815748638e-04
1.376725268e-03,9.102569311e-04
1.267351676e-03,1.037668088e-03
1.101354603e-03,1.201078179e-03
9.573917487e-04,1.349593163e-03
7.942236844e-04,1.431986457e-03
6.243390380e-04,1.511593466e-03
4.129160079e-04,1.603973913e-03
2.331439900e-04,1.621285104e-03
2.896915066e-05,1.615593792e-03
-2.067570458e-04,1.631419291e-03
-3.660755174e-04,1.598600647e-03
-5.660447641e-04,1.524684834e-03
-8.240282768e-04,1.456014230e-03
-9.588632383e-04,1.350917388e-03
-1.072660787e-03,1.201301231e-03
-1.258109813e-03,1.089971978e-03
-1.376426197e-03,9.343179991e-04
-1.451196382e-03,7.323408499e-04
-1.520593185e-03,5.047363229e-04
-1.586643630e-03,3.318802337e-04
-1.644581906e-03,1.147468865e-04
-1.645308221e-03,-1.122548638e-04
-1.610092353e-03,-2.591179800e-04
-1.573846559e-03,-4.965007538e-04
-1.478679827e-03,-6.633712328e-04
-1.339980983e-03,-8.571128128e-04
-1.220231061e-03,-1.044621924e-03
-1.109106001e-03,-1.154256635e-03
-9.585831431e-04,-1.276109368e-03
-7.799028535e-04,-1.424738206e-03
-5.857578362e-04,-1.546885236e-03
-3.881476878e-04,-1.579371630e-03
-2.501751587e-04,-1.559198136e-03
-3.279974408e-05,-1.623349963e-03
1.941687806e-04,-1.651815954e-03
3.925384081e-04,-1.560071600e-03
5.929538165e-04,-1.519458718e-03
7.458404871e-04,-1.422151225e-03
9.780683322e-04,-1.344703953e-03
1.149106422e-03,-1.219860860e-03
1.247358508e-03,-1.016061055e-03
1.382639632e-03,-8.472016780e-04
1.454357640e-03,-7.031818386e-04
1.507800887e-03,-5.751394783e-04
1.573846559e-03,-2.658677695e-04
1.636735629e-03,-9.605909872e-05
1.624740660e-03,3.944038326e-05
1.622267650e-03,3.284388804e-04
1.578422380e-03,4.636440717e-04
1.454172540e-03,7.088731509e-04
1.392603037e-03,8.104954031e-04
1.265063765e-03,9.462749586e-04
1.156748622e-03,1.172664342e-03
1.036253525e-03,1.272872090e-03
8.222435135e-04,1.468564617e-03
6.137776654e-04,1.538611716e-03
4.157972580e-04,1.582143712e-03
2.177076967e-04,1.556036877e-03
1.305344267e-05,1.609067083e-03
-1.752958779e-04,1.658119494e-03
-4.159491509e-04,1.574515831e-03
-6.210685824e-04,1.531766960e-03
-7.657339447e-04,1.403667615e-03
-9.335727664e-04,1.308591105e-03
-1.097148983e-03,1.187431393e-03
-1.247472479e-03,1.052710344e-03
-1.361013739e-03,8.888682933e-04
-1.437938772e-03,7.118303329e-04
-1.504340442e-03,5.096823443e-04
-1.631120220e-03,3.064046614e-04
-1.655646483e-03,1.467491820e-04
-1.655627508e-03,-1.189904433e-04
-1.606332953e-03,-3.213378077e-04
-1.514346572e-03,-4.778509610e-04
-1.542774611e-03,-6.730213063e-04
-1.356623019e-03,-8.354298770e-04
-1.244553248e-03,-1.004417310e-03
-1.197285485e-03,-1.148157171e-03
-9.494884871e-04,-1.277224859e-03
-8.369915304e-04,-1.467244932e-03
-6.443844177e-04,-1.586439554e-03
-3.970382677e-04,-1.615930814e-03
-2.361723891e-04,-1.623368938e-03
1.787135079e-05,-1.613585977e-03
1.609370811e-04,-1.665353542e-03
3.546027292e-04,-1.590863452e-03
5.550940987e-04,-1.449596719e-03
7.362616598e-04,-1.393998507e-03
1.002874691e-03,-1.386987627e-03
1.089397585e-03,-1.225139247e-03
1.205896027e-03,-1.035622205e-03
1.374755404e-03,-9.192186990e-04
1.454058685e-03,-6.756082294e-04
1.516928780e-03,-5.090890336e-04
1.624949509e-03,-3.447485506e-04
1.662453287e-03,-1.270218636e-04
1.646442688e-03,8.942320710e-05
1.574311638e-03,3.060154268e-04
1.520963502e-03,5.241503241e-04
1.496589161e-03,7.247888716e-04
1.397083863e-03,8.866562857e-04
1.300706761e-03,1.051186700e-03
1.120730652e-03,1.209631679e-03
9.485248593e-04,1.290814602e-03
7.696025423e-04,1.412686310e-03
6.148741231e-04,1.572156674e-03
4.329233780e-04,1.599749317e-03
1.924931858e-04,1.648991602e-03
2.707521526e-05,1.658717636e-03
-1.779160521e-04,1.571022207e-03
-4.441208439e-04,1.580933342e-03
-6.656211917e-04,1.569555490e-03
-8.265012875e-04,1.423266716e-03
-9.165036026e-04,1.331038191e-03
-1.082704752e-03,1.187260495e-03
-1.271495596e-03,1.035902300e-03
-1.301993150e-03,8.661648026e-04
-1.419231994e-03,6.378766848e-04
-1.583814621e-03,5.374458269e-04
-1.590621425e-03,3.230655857e-04
-1.635715133e-03,7.707702025e-05
-1.592145069e-03,-7.674000517e-05
-1.517821103e-03,-2.712600399e-04
-1.548707951e-03,-5.222895998e-04
-1.427676412e-03,-7.515650359e-04
-1.380593865e-03,-8.289743564e-04
-1.271628425e-03,-1.034544664e-03
-1.132962876e-03,-1.277894131e-03
-9.810446063e-04,-1.344836899e-03
-7.641912671e-04,-1.403909642e-03
-6.148361717e-04,-1.483905944e-03
-4.163004050e-04,-1.606242731e-03
-2.396896889e-04,-1.632311731e-03
1.208511458e-05,-1.633037929e-03
1.762594620e-04,-1.616543159e-03
3.903786419e-04,-1.572379726e-03
6.217948394e-04,-1.546885236e-03
7.900560740e-04,-1.424700255e-03
9.949334199e-04,-1.353295520e-03
1.090570120e-03,-1.233341522e-03
1.215788187e-03,-1.019127434e-03
1.360657625e-03,-8.805045509e-04
1.450640964e-03,-7.237493410e-04
1.543909078e-03,-4.680679995e-04
1.595159178e-03,-2.785889665e-04
1.575987320e-03,-8.326672832e-05
1.623349963e-03,8.006744611e-05
1.631196239e-03,2.651273098e-04
1.583406352e-03,5.265521468e-04
1.470705378e-03,6.615864695e-04
1.365807839e-03,8.497838862e-04
1.257938915e-03,1.039452851e-03
1.067586476e-03,1.167680370e-03
9.207044495e-04,1.301323879e-03
7.515650359e-04,1.387452823e-03
5.510214251e-04,1.531059737e-03
3.954955901e-04,1.592890359e-03
1.921419316e-04,1.600959687e-03
4.984041880e-06,1.628182014e-03
-2.322658402e-04,1.589728985e-03
-4.428344837e-04,1.577662886e-03
-5.679244641e-04,1.508598332e-03
-7.778428262e-04,1.442756737e-03
-9.436310502e-04,1.393239130e-03
-1.110354322e-03,1.237447374e-03
-1.223895582e-03,1.025578124e-03
-1.369529287e-03,8.976117242e-04
-1.470890478e-03,6.680182414e-04
-1.577344839e-03,4.611710319e-04
-1.673422870e-03,3.791479394e-04
-1.584241749e-03,1.276531839e-04
-1.562079415e-03,-1.193227072e-04
-1.592648216e-03,-3.080422757e-04
-1.552187256e-03,-4.843017377e-04
-1.441399218e-03,-7.180770044e-04
-1.395897241e-03,-9.238847415e-04
-1.283917692e-03,-1.071360195e-03
-1.104159863e-03,-1.195073593e-03
-9.844669839e-04,-1.287786290e-03
-7.873979048e-04,-1.420793706e-03
-6.180733908e-04,-1.497424557e-03
-3.873692185e-04,-1.518936595e-03
-1.309616346e-04,-1.564030303e-03
-2.179212970e-05,-1.648284378e-03
1.867828978e-04,-1.618251903e-03
4.195376532e-04,-1.526972745e-03
5.833939649e-04,-1.484670094e-03
7.484226953e-04,-1.424700255e-03
9.445043979e-04,-1.329808845e-03
1.095886342e-03,-1.210766146e-03
1.221270650e-03,-1.075636945e-03
1.334422617e-03,-8.553612861e-04
1.455919351e-03,-6.572527345e-04
1.508750138e-03,-5.210459931e-04
1.531116664e-03,-3.213378077e-04
1.645066077e-03,-1.514721516e-04
1.637666021e-03,6.071037569e-05
1.620634808e-03,3.025360929e-04
1.541084726e-03,4.608529853e-04
1.497590682e-03,7.063431549e-04
1.417466323e-03,8.739968180e-04
1.221493701e-03,1.007374609e-03
1.125268522e-03,1.185233705e-03
9.489900549e-04,1.339871902e-03
7.742163143e-04,1.467021881e-03
5.950186751e-04,1.520911232e-03
3.729582240e-04,1.626919489e-03
1.574055350e-04,1.598154427e-03
-1.601064105e-05,1.577197690e-03
-1.899109775e-04,1.664703246e-03
-4.380593018e-04,1.597741386e-03
-6.276664790e-04,1.515181968e-03
-8.047091542e-04,1.397886081e-03
-9.776032530e-04,1.284905011e-03
-1.109143952e-03,1.179305022e-03
-1.245298423e-03,1.001925324e-03
-1.387267723e-03,8.621680317e-04
-1.500642858e-03,6.640594802e-04
-1.519349520e-03,5.028423620e-04
-1.569830813e-03,3.308786836e-04
-1.598339528e-03,9.514773410e-05
-1.613490982e-03,-6.418971316e-05
-1.600883785e-03,-2.920695988e-04
-1.537624397e-03,-5.403840914e-04
-1.462484011e-03,-6.822631112e-04
-1.384756761e-03,-8.806327241e-04
-1.298290677e-03,-1.000050339e-03
-1.117811422e-03,-1.149998861e-03
-9.971691761e-04,-1.325664925e-03
-8.231169195e-04,-1.461183419e-03
-5.976388347e-04,-1.612821710e-03
-3.919782757e-04,-1.620392664e-03
-2.074832882e-04,-1.666079741e-03
4.617121522e-05,-1.652262057e-03
2.322136279e-04,-1.613082830e-03
3.071688698e-04,-1.611540094e-03
5.952559877e-04,-1.536176656e-03
7.975701010e-04,-1.445319969e-03
9.358036914e-04,-1.319119241e-03
1.155353151e-03,-1.204761560e-03
1.290985500e-03,-1.010146574e-03
1.435166690e-03,-8.461004472e-04
1.504938584e-03,-7.556946948e-04
1.617734553e-03,-4.546442942e-04
1.617563656e-03,-2.875697392e-04
1.581602613e-03,-1.355564455e-04
1.687259530e-03,1.252560905e-04
1.623383141e-03,2.697363379e-04
1.525354106e-03,5.282040220e-04
1.460827421e-03,6.916521234e-04
1.357069123e-03,8.352447185e-04
1.227968256e-03,1.066822326e-03
