I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
2.895965590e-04,-1.596887014e-03
5.177185521e-04,-1.581697608e-03
6.948513910e-04,-1.568715321e-03
8.339583874e-04,-1.416032785e-03
1.024946803e-03,-1.278544427e-03
1.207752037e-03,-1.101221656e-03
1.289271982e-03,-9.272881434e-04
1.421315828e-03,-8.321214118e-04
1.533257426e-03,-5.790080177e-04
1.526265522e-03,-4.007549433e-04
1.583425328e-03,-2.260001929e-04
1.690012636e-03,2.391390808e-05
1.602464356e-03,2.098803816e-04
1.505978056e-03,4.917967599e-04
1.550027519e-03,5.790080177e-04
1.437193598e-03,7.332712412e-04
1.315549714e-03,9.557541343e-04
1.215617289e-03,1.086568576e-03
1.080231741e-03,1.242450438e-03
8.995815879e-04,1.342862262e-03
7.071453729e-04,1.490859897e-03
5.063549033e-04,1.520892256e-03
2.278039465e-04,1.586605678e-03
2.872706864e-05,1.646556542e-03
-1.392019185e-04,1.675003557e-03
-2.813562751e-04,1.627346617e-03
-4.857162421e-04,1.551052788e-03
-6.497956347e-04,1.486454858e-03
-8.431622409e-04,1.363021554e-03
-1.079818816e-03,1.318355091e-03
-1.174824079e-03,1.159036532e-03
-1.283452497e-03,1.000828808e-03
-1.403833739e-03,7.896478637e-04
-1.502109575e-03,5.968176411e-04
-1.568140928e-03,4.216024827e-04
-1.651982078e-03,1.799808670e-04
-1.652874402e-03,-1.824159335e-05
-1.611668267e-03,-2.108297194e-04
-1.594936126e-03,-3.802254505e-04
-1.549491193e-03,-6.023238529e-04
-1.468953793e-03,-7.685630117e-04
-1.352588297e-03,-9.387229220e-04
-1.192467636e-03,-1.156672719e-03
-9.998462629e-04,-1.267090556e-03
-8.534293738e-04,-1.330202795e-03
-6.909448421e-04,-1.473752665e-03
-5.065400619e-04,-1.547815627e-03
-2.904889407e-04,-1.595140202e-03
-7.027024549e-05,-1.636512578e-03
8.995958342e-05,-1.644135802e-03
3.129123943e-04,-1.609812258e-03
5.467446754e-04,-1.487029251e-03
6.492782850e-04,-1.508394140e-03
8.413964533e-04,-1.413469552e-03
1.027106657e-03,-1.253291965e-03
1.174116856e-03,-1.160911517e-03
1.272781868e-03,-9.825350717e-04
1.387381693e-03,-7.937015616e-04
1.540078432e-03,-6.212916924e-04
1.539095887e-03,-4.211372870e-04
1.622903743e-03,-2.148644271e-04
1.650031190e-03,2.155004722e-06
1.589282765e-03,2.534646483e-04
1.560498727e-03,4.561110400e-04
1.514754724e-03,6.202331861e-04
1.433139900e-03,7.588749868e-04
1.336411457e-03,9.007540066e-04
1.221441547e-03,1.144919894e-03
1.010222593e-03,1.320082811e-03
8.254238055e-04,1.413559774e-03
7.086310652e-04,1.539708232e-03
5.483253044e-04,1.558229793e-03
3.108143574e-04,1.613528933e-03
1.335675770e-04,1.651592785e-03
-6.309322634e-05,1.618475071e-03
-3.339450341e-04,1.604268211e-03
-5.301216734e-04,1.534743118e-03
-6.732253823e-04,1.498093829e-03
-8.662976907e-04,1.366049983e-03
-1.078689122e-03,1.279845019e-03
-1.183615066e-03,1.186239999e-03
-1.320177806e-03,9.410678176e-04
-1.445804141e-03,8.146962500e-04
-1.506998669e-03,6.374684745e-04
-1.543761929e-03,4.104619729e-04
-1.600252464e-03,2.125005558e-04
-1.621342031e-03,-4.575825187e-06
-1.548893051e-03,-1.748306968e-04
-1.556240954e-03,-3.780894331e-04
-1.539280987e-03,-5.973587977e-04
-1.431170036e-03,-7.834771532e-04
-1.318430994e-03,-9.672458982e-04
-1.182983746e-03,-1.095924410e-03
-1.046425663e-03,-1.241933089e-03
-8.709636750e-04,-1.384106465e-03
-6.837868132e-04,-1.458952436e-03
-5.155967665e-04,-1.496608136e-03
-2.408194123e-04,-1.558396034e-03
-6.234799366e-05,-1.669910387e-03
9.250856237e-05,-1.629036502e-03
2.730115666e-04,-1.567860949e-03
4.451603745e-04,-1.523512416e-03
6.454476388e-04,-1.436339226e-03
8.490766049e-04,-1.385782030e-03
1.038598362e-03,-1.257625641e-03
1.146818511e-03,-1.082035480e-03
1.333046122e-03,-9.663535166e-04
1.403800445e-03,-7.863393985e-04
1.523308340e-03,-5.971926730e-04
1.643153140e-03,-4.499782808e-04
1.562729711e-03,-2.410092857e-04
1.602725475e-03,-1.519420766e-05
1.569925691e-03,2.028125309e-04
1.535616582e-03,3.973183339e-04
1.544469153e-03,6.210875581e-04
1.428901101e-03,7.913756417e-04
1.328508253e-03,9.455866530e-04
1.224674052e-03,1.115447609e-03
1.055145403e-03,1.290112152e-03
8.843683754e-04,1.402832218e-03
6.794910296e-04,1.438422943e-03
4.698907142e-04,1.543429564e-03
3.250354785e-04,1.598154427e-03
1.059702263e-04,1.630583894e-03
-1.039623676e-04,1.629373524e-03
-2.813942556e-04,1.579912845e-03
-5.113389925e-04,1.512950985e-03
-6.714786286e-04,1.471388852e-03
-8.569989004e-04,1.398128225e-03
-1.066376106e-03,1.230327412e-03
-1.164651942e-03,1.086981618e-03
-1.344148652e-03,9.346122970e-04
-1.395579195e-03,7.813174161e-04
-1.479482045e-03,6.096859579e-04
-1.620800933e-03,4.148336884e-04
-1.634058543e-03,2.459173847e-04
-1.660018228e-03,-3.559080506e-05
-1.634637592e-03,-2.177076967e-04
-1.609831350e-03,-3.664504911e-04
-1.525857369e-03,-6.238549249e-04
-1.459711930e-03,-7.699015550e-04
-1.326163416e-03,-9.832375217e-04
-1.167533221e-03,-1.124058035e-03
-1.050123363e-03,-1.203921391e-03
-9.191997233e-04,-1.345539466e-03
-6.915049744e-04,-1.460514148e-03
-4.599083913e-04,-1.541065751e-03
-3.096608853e-04,-1.575617003e-03
-8.231738320e-05,-1.664779149e-03
5.364727622e-05,-1.661727089e-03
2.826616401e-04,-1.554380287e-03
5.163609749e-04,-1.529759145e-03
6.893831887e-04,-1.462151762e-03
8.922384586e-04,-1.313166926e-03
1.067121397e-03,-1.228376408e-03
1.225846470e-03,-1.123165712e-03
1.273987582e-03,-9.262438398e-04
1.450061915e-03,-7.577594952e-04
1.522249775e-03,-6.467482890e-04
1.507577719e-03,-4.240565177e-04
1.612636610e-03,-1.896499161e-04
1.641330426e-03,4.404943866e-06
1.603228622e-03,2.408194123e-04
1.596274669e-03,3.870322253e-04
1.540097408e-03,5.589246866e-04
1.415942563e-03,7.609919994e-04
1.340094954e-03,9.305775748e-04
1.216196455e-03,1.121100853e-03
1.078409026e-03,1.253515016e-03
8.805045509e-04,1.352384221e-03
7.227240712e-04,1.437696745e-03
5.407732679e-04,1.539580058e-03
3.056784044e-04,1.616600086e-03
1.308144856e-04,1.597466180e-03
-9.115100693e-05,1.630208921e-03
-3.098839952e-04,1.660725451e-03
-4.914075253e-04,1.570799155e-03
-6.680372171e-04,1.480393345e-03
-8.604971808e-04,1.385706011e-03
-1.062507508e-03,1.286746701e-03
-1.191594289e-03,1.150127035e-03
-1.349222846e-03,9.188816766e-04
-1.507948036e-03,7.725976757e-04
-1.549192122e-03,6.063585170e-04
-1.584578771e-03,3.615756286e-04
-1.572398818e-03,1.843478385e-04
-1.627142541e-03,5.634340596e-06
-1.640680130e-03,-2.305000671e-04
-1.537126023e-03,-4.341907334e-04
-1.497927704e-03,-5.896785879e-04
-1.452496974e-03,-7.923060330e-04
-1.320030657e-03,-9.574676515e-04
-1.174116856e-03,-1.090997248e-03
-1.019943855e-03,-1.254184288e-03
-8.456210489e-04,-1.354206936e-03
-7.053558365e-04,-1.461145468e-03
-4.776088754e-04,-1.580615295e-03
-2.597682760e-04,-1.595771522e-03
-1.013231958e-04,-1.637110603e-03
1.170537871e-04,-1.666616183e-03
3.416821710e-04,-1.541606849e-03
5.171964294e-04,-1.497723628e-03
6.735434290e-04,-1.444892725e-03
8.329948178e-04,-1.339572831e-03
1.033614390e-03,-1.298959949e-03
1.219689962e-03,-1.169260941e-03
1.291483874e-03,-9.596796590e-04
1.404336886e-03,-7.874738658e-04
1.506685396e-03,-6.258485373e-04
1.571786474e-03,-3.872743109e-04
1.624128432e-03,-2.139720455e-04
1.634262619e-03,1.210410210e-05
1.614720444e-03,2.782709198e-04
1.575261005e-03,4.151089815e-04
1.507112524e-03,6.252884050e-04
1.402647002e-03,8.044148562e-04
1.345150173e-03,9.699609946e-04
1.197802951e-03,1.146353316e-03
1.009477302e-03,1.235572505e-03
8.737737662e-04,1.377190463e-03
6.947232177e-04,1.452534925e-03
5.253227428e-04,1.552016358e-03
3.343722492e-04,1.603750745e-03
7.373059634e-05,1.585936407e-03
-1.128149743e-04,1.680229674e-03
-2.862881229e-04,1.582233934e-03
-4.991209717e-04,1.489706337e-03
-6.976803998e-04,1.511019072e-03
-8.951007039e-04,1.421149704e-03
-1.052283100e-03,1.234604162e-03
-1.165003167e-03,1.094196574e-03
-1.329476596e-03,9.502337198e-04
-1.433586120e-03,7.373391418e-04
-1.471407828e-03,6.055420963e-04
-1.566745457e-03,4.310673976e-04
-1.632330706e-03,2.193073306e-04
-1.651815954e-03,-9.184876944e-06
-1.588689513e-03,-2.268925746e-04
-1.570595079e-03,-3.828883346e-04
-1.506514498e-03,-6.216618931e-04
-1.385891228e-03,-7.768174983e-04
-1.310304622e-03,-9.287928115e-04
-1.201244304e-03,-1.154906931e-03
-1.052857493e-03,-1.255840878e-03
-8.693830459e-04,-1.369510312e-03
-7.128129364e-04,-1.493071788e-03
-5.142961745e-04,-1.554660383e-03
-2.921787673e-04,-1.585081918e-03
-8.347083349e-05,-1.629093429e-03
1.498203055e-04,-1.610609703e-03
3.228804853e-04,-1.575374976e-03
4.875389859e-04,-1.556051080e-03
6.910397788e-04,-1.463969704e-03
8.523518336e-04,-1.386489253e-03
1.016526250e-03,-1.242284314e-03
1.188731985e-03,-1.122757443e-03
1.308182837e-03,-9.240888176e-04
1.400729408e-03,-7.111041341e-04
