I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-2.796759509e-05,2.801126393e-04
-7.795041893e-05,3.182714281e-04
-9.667617269e-05,2.731207642e-04
-1.991860481e-04,2.505074372e-04
-1.827482047e-04,2.547130280e-04
-2.031685290e-04,1.623516000e-04
-3.052322136e-04,1.196787125e-04
-2.444458951e-04,1.738054125e-04
-2.843324619e-04,1.117564607e-04
-2.815271728e-04,3.761765038e-05
-2.571101068e-04,5.970882194e-05
-3.089916136e-04,8.088388313e-06
-2.780098584e-04,-2.114183189e-05
-2.833499166e-04,-8.680302562e-05
-2.630244999e-04,-1.462127984e-04
-2.801506198e-04,-1.734541584e-04
-2.884241403e-04,-2.203848417e-04
-2.140812139e-04,-1.946339617e-04
-1.879933116e-04,-2.469189349e-04
-1.276341936e-04,-2.430551103e-04
-9.040577424e-05,-2.242913761e-04
-7.832065603e-05,-2.499331022e-04
4.314756097e-06,-2.508254838e-04
-4.524086035e-05,-2.842945105e-04
3.356396337e-05,-2.564028546e-04
5.496686208e-05,-2.763769880e-04
3.834389645e-05,-3.080802562e-04
1.928112179e-04,-2.784228127e-04
1.659401169e-04,-2.711508714e-04
1.943538955e-04,-2.257581073e-04
2.396137425e-04,-1.948760328e-04
2.370078000e-04,-1.990199089e-04
2.647333313e-04,-1.169066381e-04
2.596021222e-04,-9.013046656e-05
2.935553202e-04,-9.174909064e-05
2.778816852e-04,-3.471741366e-05
2.424190461e-04,-1.537932985e-05
3.227855486e-04,1.495212564e-05
3.236969060e-04,1.106409836e-04
2.397988719e-04,1.349820959e-04
2.438525553e-04,9.695148037e-05
2.329920972e-04,2.125195460e-04
1.955785556e-04,2.433683985e-04
1.985547424e-04,2.116081741e-04
1.531477465e-04,2.702584898e-04
8.525559679e-05,2.535405802e-04
1.080730144e-04,2.753706940e-04
8.014339255e-05,3.078951268e-04
2.230952134e-07,3.311539767e-04
-3.719044616e-05,2.795525361e-04
-7.527327398e-05,2.826426353e-04
-1.161803884e-04,3.035423870e-04
-1.116805142e-04,2.044501452e-04
-1.383475173e-04,2.541529248e-04
-2.381612576e-04,2.099563280e-04
-2.288672113e-04,1.428806136e-04
-2.269685210e-04,1.968838915e-04
-3.292410693e-04,1.316499111e-04
-3.196289763e-04,6.214388122e-05
-3.048429789e-04,5.863131810e-05
-3.112984996e-04,2.123676495e-05
-2.731397399e-04,-1.428284031e-05
-2.924588334e-04,-3.839610872e-05
-3.233266762e-04,-1.202530621e-04
-3.285527928e-04,-9.440724534e-05
-2.459553361e-04,-1.050588544e-04
-1.887955004e-04,-1.640414266e-04
-1.911925938e-04,-1.563802507e-04
-2.091541392e-04,-2.603663597e-04
-1.345691271e-04,-2.479632094e-04
-1.152880068e-04,-2.418257063e-04
-8.555463864e-05,-2.573142119e-04
2.012128971e-05,-2.590989752e-04
7.903266123e-06,-3.272522008e-04
2.294557999e-05,-3.263787949e-04
9.930110537e-06,-3.228425048e-04
1.150649114e-04,-2.571860678e-04
1.457286417e-04,-2.670022368e-04
8.144399180e-05,-2.396137425e-04
1.808922389e-04,-1.894078305e-04
2.517368412e-04,-2.280839981e-04
2.570531506e-04,-1.957684144e-04
2.909541363e-04,-1.735633268e-04
2.561797446e-04,-1.094305771e-04
2.014359925e-04,-6.346346345e-05
3.428498749e-04,-3.406711403e-05
3.456409322e-04,2.718438918e-05
2.588379139e-04,6.830036000e-05
3.172271536e-04,2.828087781e-05
2.970536589e-04,4.609526877e-05
2.803167445e-04,1.978664659e-04
2.459363604e-04,1.659591071e-04
2.513096260e-04,1.522363746e-04
2.335522004e-04,2.072412026e-04
1.268557389e-04,2.320807253e-04
1.062882511e-04,2.714831498e-04
8.752452413e-05,3.056641726e-04
1.024766461e-04,2.934651275e-04
1.818463352e-05,2.041321131e-04
-5.653327662e-06,2.807819401e-04
-2.266552474e-05,2.935553202e-04
-1.063262243e-04,2.723422949e-04
-1.128339645e-04,3.338168899e-04
-1.749778457e-04,2.524251177e-04
-1.881404605e-04,1.919378265e-04
-2.160890726e-04,1.805931970e-04
-2.170004445e-04,1.379725145e-04
-2.416405914e-04,1.400943001e-04
-2.671683906e-04,1.087043274e-04
-2.698122989e-04,5.373746535e-05
-3.031152009e-04,5.431656245e-05
-2.983732265e-04,-2.088076144e-05
-2.930569171e-04,-8.276357403e-05
-2.499900584e-04,-6.028317512e-05
-2.731777204e-04,-8.695017459e-05
-3.111466067e-04,-1.830852125e-04
-2.976469696e-04,-2.270444675e-04
-2.354841126e-04,-2.365283872e-04
-1.221327548e-04,-1.997461659e-04
-1.157341976e-04,-2.001543762e-04
-1.228020410e-04,-2.753706940e-04
-7.702006405e-05,-3.067796351e-04
-2.008331467e-05,-2.777677728e-04
-8.088388313e-06,-2.287342941e-04
-1.733022509e-05,-3.164486843e-04
6.859465793e-05,-2.731017594e-04
7.166577416e-05,-2.499140974e-04
1.519942889e-04,-2.776965848e-04
2.238641755e-04,-2.273197751e-04
1.411338308e-04,-2.876076906e-04
1.995420462e-04,-1.739905274e-04
2.735669550e-04,-1.652518404e-04
3.178774496e-04,-1.432935824e-04
2.892263292e-04,-7.934594760e-05
2.460645337e-04,-1.132231919e-04
2.717821917e-04,-2.058646714e-05
2.737520554e-04,-1.281610821e-06
3.145120281e-04,4.282478767e-05
3.119820321e-04,3.311777255e-05
2.874225902e-04,1.146187205e-04
2.451009350e-04,2.109578782e-04
2.270966797e-04,1.678198169e-04
2.117933036e-04,2.146603074e-04
1.551745809e-04,2.249606623e-04
1.504895918e-04,2.556956024e-04
1.485909015e-04,3.125611402e-04
9.901630256e-05,3.071308893e-04
3.522056431e-05,3.072448308e-04
2.387593486e-05,2.767092665e-04
-2.521450551e-05,3.281255777e-04
-6.625452806e-05,2.976090182e-04
-9.009249334e-05,2.382941602e-04
-1.341229363e-04,3.149012628e-04
-1.411717967e-04,2.846505085e-04
-1.646774908e-04,1.945200347e-04
-2.706856758e-04,1.733212412e-04
-2.591369557e-04,2.083187137e-04
-2.361533989e-04,1.296610426e-04
-2.964033338e-04,7.937917690e-05
-3.048999642e-04,4.919961430e-05
-3.578969336e-04,3.443735477e-05
-3.586374223e-04,5.262198829e-05
-2.978131233e-04,-4.046092727e-05
-2.545278985e-04,-6.742696860e-05
-2.680275356e-04,-1.336055429e-04
-2.928148315e-04,-1.479406055e-04
-2.630624804e-04,-1.860613993e-04
-2.180969313e-04,-2.500802220e-04
-1.982414542e-04,-2.709847176e-04
-1.924931858e-04,-2.567208721e-04
-1.221659913e-04,-2.709087858e-04
-1.083720563e-04,-3.408610064e-04
-5.225174755e-05,-2.376960765e-04
-2.645814311e-05,-2.699594479e-04
-3.012259913e-05,-2.752757573e-04
3.198330887e-05,-2.557335538e-04
1.240267011e-04,-2.690480615e-04
1.335106208e-04,-3.091007820e-04
1.324900804e-04,-2.782709198e-04
1.998221123e-04,-1.344409684e-04
1.828431414e-04,-1.535179908e-04
2.510105842e-04,-1.688783232e-04
2.284210204e-04,-1.707010670e-04
2.736428869e-04,-1.181502739e-04
2.897816885e-04,-9.271267481e-05
2.692142152e-04,-6.487798237e-05
3.326966544e-04,-5.558393241e-06
2.865302085e-04,2.385694643e-05
2.875317587e-04,8.255946886e-05
2.015878854e-04,1.566080900e-04
1.890328422e-04,1.621095289e-04
2.467907616e-04,1.357605506e-04
2.137679257e-04,1.956545020e-04
1.827861706e-04,2.465866564e-04
1.973633189e-04,2.465297002e-04
1.476035832e-04,2.634517150e-04
4.674556476e-05,3.051040694e-04
1.084147789e-05,2.935031080e-04
5.468205927e-06,2.812850871e-04
-2.701825360e-05,2.850587189e-04
-1.189144969e-04,3.078381706e-04
-8.700713079e-05,2.768042032e-04
-7.971619198e-05,2.400219673e-04
-2.090069902e-04,2.677474695e-04
-1.909694984e-04,2.076114470e-04
-1.644164295e-04,1.846279047e-04
-2.084658627e-04,1.829380781e-04
-2.394286275e-04,9.343891725e-05
-2.775446919e-04,1.154019337e-04
-2.539487905e-04,6.692381430e-05
-3.103301860e-04,4.352729775e-06
-3.286999417e-04,4.585318675e-05
-2.913433709e-04,-6.381946878e-05
-2.673772397e-04,-1.324141340e-04
-2.482764830e-04,-1.077217603e-04
-2.234749409e-04,-1.107691423e-04
-1.848699758e-04,-1.536841155e-04
-2.041511034e-04,-1.902242657e-04
-1.829523098e-04,-2.283450740e-04
-1.253462833e-04,-2.481483389e-04
-4.469973646e-05,-2.529994526e-04
-4.589115997e-05,-2.784228127e-04
-1.260725276e-05,-2.761539072e-04
