I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-3.568740096e-03,-8.632209152e-03
-2.521702088e-03,-9.063034318e-03
-1.368228695e-03,-9.341414087e-03
-2.310791751e-04,-9.404787794e-03
9.120606701e-04,-9.326728061e-03
2.097218297e-03,-9.129155427e-03
3.248873865e-03,-8.683307096e-03
4.333752673e-03,-8.155639283e-03
5.337799899e-03,-7.473936304e-03
6.198496092e-03,-6.691779010e-03
6.923214067e-03,-5.876470357e-03
7.592067588e-03,-4.991655704e-03
8.102685213e-03,-4.084412940e-03
8.470844477e-03,-2.999833087e-03
8.709547110e-03,-1.920792740e-03
8.803579025e-03,-7.775058039e-04
8.858878165e-03,4.277162370e-04
8.849374950e-03,1.541492995e-03
8.594686165e-03,2.684646985e-03
8.234353736e-03,3.737917403e-03
7.853364572e-03,4.767179023e-03
7.295184769e-03,5.816448014e-03
6.618404295e-03,6.602839567e-03
5.889917724e-03,7.336633280e-03
5.054098554e-03,8.041599765e-03
4.079780076e-03,8.646135218e-03
2.944567241e-03,9.026156738e-03
1.776644844e-03,9.209356271e-03
6.076401332e-04,9.402371012e-03
-5.989204510e-04,9.324491955e-03
-1.679579378e-03,9.162069298e-03
-2.772750566e-03,8.933368139e-03
-3.854786279e-03,8.534601890e-03
-4.785216413e-03,7.910970598e-03
-5.786548834e-03,7.148749195e-03
-6.685997359e-03,6.321630441e-03
-7.478047162e-03,5.245922599e-03
-8.309180848e-03,4.095420241e-03
-8.801086806e-03,2.988692606e-03
-9.133432060e-03,1.858943258e-03
-9.338627569e-03,7.820246392e-04
-9.240446612e-03,-2.273055434e-04
-9.063978679e-03,-1.182409353e-03
-8.721593767e-03,-2.230002778e-03
-8.259939030e-03,-3.368808888e-03
-7.629182190e-03,-4.329846241e-03
-6.996626500e-03,-5.443471018e-03
-6.239645649e-03,-6.541517098e-03
-5.370765459e-03,-7.394870277e-03
-4.569943994e-03,-8.114101365e-03
-3.656748915e-03,-8.609894663e-03
-2.671593567e-03,-8.874665946e-03
-1.649603946e-03,-9.015875868e-03
-5.986071774e-04,-9.016806260e-03
5.187010975e-04,-8.889465593e-03
1.685194788e-03,-8.712314069e-03
2.934413962e-03,-8.355238475e-03
4.170878790e-03,-7.971870713e-03
5.301406607e-03,-7.454541512e-03
6.282489281e-03,-6.730773021e-03
7.020668592e-03,-6.003102753e-03
7.619327866e-03,-5.211874377e-03
8.125982247e-03,-4.323485307e-03
8.403991349e-03,-3.337214701e-03
8.670661598e-03,-2.312828088e-03
8.869235404e-03,-1.174377976e-03
8.856111206e-03,-4.933252058e-05
8.825371042e-03,1.091813669e-03
8.628544398e-03,2.250366146e-03
8.223882876e-03,3.341268515e-03
7.724443916e-03,4.505773075e-03
7.143038791e-03,5.612852518e-03
6.347571500e-03,6.649048999e-03
5.438192748e-03,7.460991852e-03
4.540766124e-03,8.052422665e-03
3.457600717e-03,8.529623039e-03
2.341331914e-03,8.869796060e-03
1.230493537e-03,8.990679868e-03
9.637713083e-05,8.880038746e-03
-1.020465977e-03,8.830839768e-03
-2.110589761e-03,8.752760477e-03
-3.095726017e-03,8.559185080e-03
-3.947014455e-03,8.257560432e-03
-4.811375868e-03,7.793247234e-03
-5.756407045e-03,7.209701464e-03
-6.679603364e-03,6.448002066e-03
-7.510234602e-03,5.466174334e-03
-8.273699321e-03,4.449410830e-03
-8.856575936e-03,3.421896137e-03
-9.242787026e-03,2.252354985e-03
-9.344817139e-03,1.128762029e-03
-9.173874743e-03,-4.110647751e-06
-8.964629844e-03,-1.219708938e-03
-8.576852269e-03,-2.288615098e-03
-8.211427368e-03,-3.349917009e-03
-7.770766970e-03,-4.440373275e-03
-7.178852800e-03,-5.352600012e-03
-6.567866076e-03,-6.239906419e-03
-5.828922614e-03,-7.010164205e-03
-4.999762867e-03,-7.620851509e-03
-4.023664631e-03,-8.159489371e-03
-3.005092498e-03,-8.557585999e-03
-1.837264979e-03,-8.799952455e-03
-6.148551474e-04,-8.866501041e-03
6.150450208e-04,-8.916801773e-03
1.840962679e-03,-8.871708065e-03
2.943560947e-03,-8.625198156e-03
4.111934453e-03,-8.279651403e-03
5.212543532e-03,-7.815632969e-03
6.208687555e-03,-7.187386975e-03
7.106318139e-03,-6.408599671e-03
7.879598998e-03,-5.491763819e-03
8.437503129e-03,-4.456995986e-03
8.867341094e-03,-3.426785115e-03
9.172611870e-03,-2.326028654e-03
9.220510721e-03,-1.158533385e-03
9.131724015e-03,9.407972357e-06
8.881287649e-03,1.204723609e-03
8.631667122e-03,2.311840653e-03
8.190674707e-03,3.381971503e-03
7.663861383e-03,4.421201069e-03
7.232518867e-03,5.320725963e-03
6.513938773e-03,6.181185134e-03
5.770646967e-03,6.973661948e-03
5.004913080e-03,7.650214713e-03
3.962560091e-03,8.253673092e-03
2.852077596e-03,8.823102340e-03
1.700369990e-03,9.244590998e-03
5.042711273e-04,9.440990165e-03
-6.616766332e-04,9.430390783e-03
-1.785440487e-03,9.148792364e-03
-2.858419204e-03,8.677563630e-03
-3.914233763e-03,8.068727329e-03
-4.904781468e-03,7.356232032e-03
-5.800138228e-03,6.603717804e-03
-6.671923213e-03,5.860293284e-03
-7.567598484e-03,5.057554226e-03
-8.306982927e-03,4.251767416e-03
-8.827009238e-03,3.361835843e-03
-9.225437418e-03,2.258696593e-03
-9.362778626e-03,1.103827613e-03
-9.374441579e-03,-1.805742068e-04
-9.288473986e-03,-1.445505070e-03
-8.987295441e-03,-2.663951367e-03
-8.599204943e-03,-3.883047961e-03
-8.077636361e-03,-4.924361594e-03
-7.453667931e-03,-5.871153902e-03
-6.728470791e-03,-6.696392782e-03
-5.895570852e-03,-7.354613859e-03
-4.950506613e-03,-8.036838844e-03
-3.821127350e-03,-8.593902923e-03
-2.639111830e-03,-9.015059099e-03
-1.376853441e-03,-9.302088059e-03
-1.265566971e-04,-9.416369721e-03
1.018923242e-03,-9.457708336e-03
2.200587420e-03,-9.154222906e-03
3.329240251e-03,-8.721000515e-03
4.401174840e-03,-8.159750141e-03
5.361172371e-03,-7.433271501e-03
6.216458045e-03,-6.698120385e-03
7.047947962e-03,-5.848488305e-03
7.786179427e-03,-4.938824568e-03
8.323981427e-03,-3.931711428e-03
8.763859048e-03,-2.896127058e-03
9.146243334e-03,-1.812292612e-03
9.305804037e-03,-7.036280585e-04
9.384162724e-03,3.938390000e-04
9.360011667e-03,1.571805449e-03
9.103514254e-03,2.734909998e-03
8.654019795e-03,3.797327401e-03
8.064692840e-03,4.865340889e-03
7.305988576e-03,5.792980548e-03
6.338272709e-03,6.678521167e-03
5.410130136e-03,7.546789013e-03
4.460698459e-03,8.141693659e-03
3.507341491e-03,8.577854373e-03
2.554354724e-03,8.822636679e-03
1.549714245e-03,8.981418796e-03
5.258258898e-04,9.003230371e-03
-6.034013350e-04,8.877011016e-03
-1.768053276e-03,8.738624863e-03
-3.023224883e-03,8.508048952e-03
-4.198528361e-03,8.209381253e-03
-5.308047403e-03,7.764349226e-03
-6.344111171e-03,7.121488452e-03
-7.145383395e-03,6.375239696e-03
-7.748822682e-03,5.441092886e-03
-8.132603951e-03,4.370791372e-03
-8.442297578e-03,3.275536001e-03
-8.680145256e-03,2.129500732e-03
-8.859661408e-03,9.996753652e-04
-8.859177120e-03,-7.361666940e-05
-8.725258522e-03,-1.171772019e-03
-8.569822647e-03,-2.311394550e-03
-8.225648664e-03,-3.446127987e-03
-7.756279781e-03,-4.544634372e-03
-7.213888224e-03,-5.600838456e-03
-6.586050615e-03,-6.539841648e-03
-5.768083967e-03,-7.395986002e-03
-4.899593070e-03,-8.173121139e-03
-3.947850317e-03,-8.661700413e-03
-2.873945748e-03,-9.025060572e-03
-1.809017383e-03,-9.296567179e-03
-6.438812707e-04,-9.421557188e-03
6.084233755e-04,-9.366201237e-03
1.865545870e-03,-9.135383181e-03
3.063220531e-03,-8.830170147e-03
4.251805600e-03,-8.356895298e-03
5.310463253e-03,-7.761449087e-03
6.284554023e-03,-7.101519033e-03
7.101576310e-03,-6.282731425e-03
7.652834989e-03,-5.410818383e-03
8.135803044e-03,-4.484612495e-03
8.529005572e-03,-3.322096542e-03
8.726838976e-03,-2.157297451e-03
8.848743513e-03,-1.023964258e-03
8.880656213e-03,1.932953892e-04
8.737827651e-03,1.453408273e-03
8.514652029e-03,2.680242062e-03
8.204378188e-03,3.825627267e-03
7.834097371e-03,4.902697634e-03
7.262124214e-03,5.910741631e-03
6.646742113e-03,6.813280284e-03
5.900773220e-03,7.524830755e-03
4.881294910e-03,8.136434481e-03
3.827207722e-03,8.547712117e-03
2.612872049e-03,8.763189428e-03
1.406477648e-03,8.947541937e-03
1.157911611e-04,8.928759024e-03
-1.111374935e-03,8.914628066e-03
-2.235712949e-03,8.810832165e-03
-3.389243502e-03,8.556508459e-03
-4.375813063e-03,8.247668855e-03
-5.358903669e-03,7.717342582e-03
-6.217164919e-03,7.132719271e-03
-7.070129272e-03,6.382587831e-03
-7.807620335e-03,5.435496569e-03
-8.397948928e-03,4.396731965e-03
-8.891421370e-03,3.252704395e-03
-9.182115085e-03,2.111501293e-03
-9.340967983e-03,1.046126708e-03
-9.276128374e-03,-4.262067887e-05
-8.980935439e-03,-1.101411530e-03
-8.603424765e-03,-2.262081020e-03
-8.250920102e-03,-3.493243828e-03
-7.642183453e-03,-4.492496606e-03
-7.007225882e-03,-5.565679632e-03
-6.295784842e-03,-6.602227222e-03
-5.363754928e-03,-7.402773947e-03
-4.416273907e-03,-8.176021278e-03
-3.444547299e-03,-8.721185848e-03
-2.363997512e-03,-9.089141153e-03
-1.217943151e-03,-9.377266280e-03
-7.239202387e-05,-9.428923950e-03
1.091979793e-03,-9.351101704e-03
2.165442798e-03,-9.054480121e-03
3.401034279e-03,-8.681726642e-03
4.513059277e-03,-8.172133937e-03
5.478150211e-03,-7.412684616e-03
6.342497189e-03,-6.665932946e-03
7.019999437e-03,-5.773419049e-03
7.652910892e-03,-4.813236650e-03
8.040484041e-03,-3.832657123e-03
8.399995044e-03,-2.793370280e-03
8.772061206e-03,-1.748753130e-03
8.920728229e-03,-7.260562270e-04
9.071791545e-03,2.895206271e-04
9.227464907e-03,1.320566982e-03
9.044735692e-03,2.337762387e-03
8.644701913e-03,3.433501814e-03
8.052199148e-03,4.494020250e-03
7.307512220e-03,5.540479440e-03
6.421838421e-03,6.527922582e-03
5.405093543e-03,7.364040706e-03
4.363205750e-03,8.098109625e-03
3.380395472e-03,8.696251549e-03
2.419244498e-03,9.090142325e-03
1.396955689e-03,9.340764023e-03
4.542171082e-04,9.403040633e-03
-6.602479261e-04,9.314471856e-03
-1.768499496e-03,9.128856473e-03
-2.763898112e-03,8.801029995e-03
-3.866686253e-03,8.460449055e-03
-4.879471846e-03,7.859535515e-03
-5.861166865e-03,7.128646597e-03
-6.810213905e-03,6.282024086e-03
-7.594896480e-03,5.171413533e-03
-8.310296573e-03,4.059625324e-03
-8.886788972e-03,2.899122192e-03
-9.193697013e-03,1.713959849e-03
-9.322782978e-03,6.257155910e-04
-9.282806888e-03,-3.428308701e-04
-9.027998894e-03,-1.335742185e-03
-8.635166101e-03,-2.368573332e-03
-8.163841441e-03,-3.388740355e-03
-7.595566101e-03,-4.480929114e-03
-6.906140130e-03,-5.571161862e-03
-6.174957380e-03,-6.563551258e-03
-5.317531060e-03,-7.406324148e-03
-4.430423956e-03,-8.167819120e-03
-3.509273520e-03,-8.751659654e-03
-2.469393425e-03,-9.094253182e-03
-1.475632424e-03,-9.333624505e-03
-4.116723721e-04,-9.394130670e-03
6.898151478e-04,-9.255170822e-03
1.778970705e-03,-9.045105428e-03
2.848750213e-03,-8.650355041e-03
3.876056056e-03,-8.069064468e-03
4.951303825e-03,-7.460379973e-03
5.931603257e-03,-6.664333399e-03
6.743883248e-03,-5.710772239e-03
7.607076783e-03,-4.785344936e-03
8.278052323e-03,-3.801566083e-03
8.832847700e-03,-2.787365811e-03
9.266012348e-03,-1.755816280e-03
9.285503067e-03,-7.135581691e-04
9.236094542e-03,2.618520812e-04
9.036291391e-03,1.363078482e-03
8.666142821e-03,2.397395438e-03
8.152293041e-03,3.387515666e-03
7.555769756e-03,4.536655266e-03
6.944355555e-03,5.640354939e-03
6.180644035e-03,6.659183186e-03
5.346443504e-03,7.525608875e-03
4.414840601e-03,8.224666119e-03
3.357036971e-03,8.675759658e-03
2.259494038e-03,8.944286034e-03
1.126421965e-03,8.972718380e-03
-6.883673632e-05,8.917808533e-03
-1.150502008e-03,8.862841874e-03
-2.226081910e-03,8.688903414e-03
-3.240614664e-03,8.576910011e-03
