I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
7.651975611e-04,-1.007094514e-03
8.278446039e-04,-9.038393619e-04
9.443952586e-04,-7.322459714e-04
1.039732830e-03,-6.191319553e-04
1.015391783e-03,-4.422221682e-04
1.087256824e-03,-2.430171298e-04
1.127034309e-03,-5.760603017e-05
1.111431862e-03,1.581128017e-04
1.150725060e-03,3.566485539e-04
1.129673445e-03,4.413487914e-04
1.164761139e-03,5.779637140e-04
1.134638558e-03,6.659534411e-04
9.740526439e-04,6.510440144e-04
8.233399712e-04,7.566820132e-04
6.635183818e-04,7.623163401e-04
3.869040520e-04,6.454618997e-04
1.574814814e-04,6.335239159e-04
8.438220539e-05,6.542053306e-04
-1.210410232e-06,6.023998139e-04
3.293265036e-05,6.275573396e-04
-1.995040839e-05,6.671258598e-04
-6.445078179e-05,6.507639773e-04
-2.632998076e-05,6.655642064e-04
-1.249570487e-04,6.993702264e-04
-1.857623574e-04,5.930440384e-04
-3.124662035e-04,4.292968952e-04
-4.280152789e-04,3.402486618e-04
-4.863475624e-04,2.744783123e-04
-6.545945653e-04,3.012544767e-04
-8.481462719e-04,3.627860278e-04
-1.018216019e-03,3.787966853e-04
-1.166659757e-03,3.749850730e-04
-1.170338481e-03,2.995836257e-04
-1.062284457e-03,1.340517338e-04
-9.360837867e-04,-1.274300885e-04
-7.565870765e-04,-3.895811969e-04
-5.513346987e-04,-6.624408998e-04
-4.666724708e-04,-8.286610246e-04
-5.023202393e-04,-8.278778405e-04
-6.334147765e-04,-7.859311881e-04
-6.225733086e-04,-6.248232094e-04
-5.762549117e-04,-5.560054560e-04
-5.723293871e-04,-5.257499870e-04
-3.780894331e-04,-6.822061841e-04
-1.895739697e-04,-8.595858235e-04
2.941534149e-05,-9.252802702e-04
2.457512310e-04,-1.081660506e-03
5.219953018e-04,-1.154014608e-03
6.881965091e-04,-1.114612096e-03
7.157511427e-04,-9.156824090e-04
8.451890899e-04,-7.114031469e-04
9.275492048e-04,-4.949580762e-04
9.168738616e-04,-3.357867827e-04
8.795362664e-04,-2.021432447e-04
8.531872882e-04,-8.330470155e-05
7.301811129e-04,9.987070371e-06
6.474887487e-04,1.647297031e-04
7.282302249e-04,2.042080596e-04
7.262033760e-04,2.248325036e-04
7.916557370e-04,1.960247464e-04
9.285507258e-04,2.206838835e-04
9.695338085e-04,2.588948701e-04
1.011803281e-03,2.233989944e-04
9.395061643e-04,3.825513122e-04
8.373997407e-04,6.489792140e-04
7.436617743e-04,8.665208006e-04
6.016925327e-04,1.029892941e-03
4.988076398e-04,1.153938589e-03
3.754502395e-04,1.161006512e-03
3.261557140e-04,9.890048532e-04
2.196965652e-04,7.854850264e-04
5.081824202e-05,6.625880487e-04
-4.535478001e-05,5.815142649e-04
-2.389064903e-04,5.936041125e-04
-3.245750559e-04,7.449101540e-04
