I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
6.568834186e-03,-6.715654861e-03
7.335850038e-03,-6.289742421e-03
8.038756438e-03,-5.850923248e-03
8.623356000e-03,-5.135224666e-03
9.117403068e-03,-4.158603959e-03
9.558139369e-03,-2.875393489e-03
9.874474257e-03,-1.427192241e-03
1.003970671e-02,6.123251660e-05
9.988143109e-03,1.626117271e-03
9.642725810e-03,2.966677304e-03
9.051020257e-03,4.270360339e-03
8.130890317e-03,5.515658762e-03
7.025258616e-03,6.464311853e-03
5.983038340e-03,7.279805373e-03
5.098447204e-03,7.867144421e-03
4.344608169e-03,8.182491176e-03
3.695857013e-03,8.283757605e-03
3.117404180e-03,8.378094062e-03
2.392022172e-03,8.361599408e-03
1.350822509e-03,8.351312950e-03
-4.293395978e-05,8.558202535e-03
-1.657635323e-03,8.721688762e-03
-3.251047805e-03,8.821317926e-03
-4.703972023e-03,8.795694448e-03
-5.760958884e-03,8.532874286e-03
-6.408599671e-03,7.994421758e-03
-6.838437635e-03,7.263927720e-03
-6.985059008e-03,6.240390707e-03
-7.152394392e-03,5.143816117e-03
-7.664084435e-03,3.891212400e-03
-8.290787227e-03,2.407994820e-03
-8.958473802e-03,1.040473348e-03
-9.579784237e-03,-4.725678591e-04
-9.921333753e-03,-1.790457754e-03
-9.891338646e-03,-2.917325823e-03
-9.292718023e-03,-3.966874909e-03
-8.284445852e-03,-4.726343323e-03
-7.217718754e-03,-5.379656330e-03
-6.020784378e-03,-5.917434115e-03
-4.890237469e-03,-6.466224790e-03
-3.898351453e-03,-6.999341771e-03
-2.942782361e-03,-7.480144966e-03
-2.020777436e-03,-7.911862805e-03
-9.583980427e-04,-8.343190886e-03
1.463789376e-04,-8.684944361e-03
1.291483874e-03,-8.906369098e-03
2.499928931e-03,-9.047654457e-03
3.741150023e-03,-9.021623991e-03
4.746089689e-03,-8.868048899e-03
5.468481220e-03,-8.486256935e-03
6.271870807e-03,-7.917477749e-03
6.814860739e-03,-7.185137365e-03
7.143598981e-03,-6.250263657e-03
7.553002331e-03,-5.110105034e-03
7.805408444e-03,-3.879369469e-03
7.987620309e-03,-2.498533344e-03
8.196327835e-03,-9.881124133e-04
8.326231502e-03,4.175677896e-04
8.319685236e-03,1.869504573e-03
8.322490379e-03,3.128748853e-03
8.337779902e-03,4.226738121e-03
8.178551681e-03,5.275988020e-03
7.883410901e-03,6.059052423e-03
7.426502649e-03,6.871223450e-03
6.618556101e-03,7.646754384e-03
