I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
-1.082908944e-03,2.658264944e-03
-1.382226706e-03,2.507291036e-03
-1.755075762e-03,2.309795003e-03
-2.075426280e-03,2.067689085e-03
-2.221002942e-03,1.775676501e-03
-2.446186729e-03,1.548427856e-03
-2.684575971e-03,1.206228277e-03
-2.698687837e-03,8.059765096e-04
-2.844658447e-03,4.955134355e-04
-2.907286631e-03,1.559340599e-04
-2.849585610e-03,-2.076304372e-04
-2.858452499e-03,-5.626223865e-04
-2.750455402e-03,-9.234005702e-04
-2.624363871e-03,-1.299463096e-03
-2.451730892e-03,-1.600627438e-03
-2.288130810e-03,-1.874526613e-03
-1.924381359e-03,-2.094151918e-03
-1.613457804e-03,-2.373875352e-03
-1.407052041e-03,-2.599875676e-03
-9.468113421e-04,-2.695806557e-03
-6.117128069e-04,-2.798952395e-03
-3.155563027e-04,-2.867381088e-03
7.229708717e-05,-2.930972725e-03
4.305452749e-04,-2.925115172e-03
7.419909234e-04,-2.756592818e-03
1.105484203e-03,-2.624083776e-03
1.497054240e-03,-2.552475082e-03
1.797416364e-03,-2.331311814e-03
2.014507074e-03,-2.045118483e-03
2.269182121e-03,-1.771883806e-03
2.522518625e-03,-1.496940386e-03
2.644019900e-03,-1.157232793e-03
2.787607955e-03,-8.576491964e-04
2.888821997e-03,-5.060748663e-04
2.862378024e-03,-1.018833136e-04
2.903118962e-03,2.206269273e-04
2.894622274e-03,6.012273370e-04
2.727210755e-03,9.887437336e-04
2.571276622e-03,1.282227808e-03
2.403176855e-03,1.529464847e-03
2.227586694e-03,1.888344297e-03
1.972171245e-03,2.188744489e-03
1.641885843e-03,2.402602462e-03
1.346692909e-03,2.606383292e-03
1.020038733e-03,2.744265599e-03
6.362770218e-04,2.850216813e-03
2.858561638e-04,2.886144677e-03
-6.814846711e-05,2.864850918e-03
-4.385054926e-04,2.825543517e-03
-7.817635778e-04,2.830095589e-03
-1.166303759e-03,2.715775976e-03
-1.449003350e-03,2.468448831e-03
-1.763572334e-03,2.325563459e-03
-2.066203393e-03,2.139316872e-03
-2.266841941e-03,1.777907484e-03
-2.485238016e-03,1.470705378e-03
-2.626485657e-03,1.224636100e-03
-2.777416725e-03,8.168322383e-04
-2.863626461e-03,3.855085233e-04
-2.848508069e-03,6.991424016e-05
-2.852371894e-03,-2.249796526e-04
-2.830541926e-03,-5.701364134e-04
-2.748542465e-03,-9.643456433e-04
-2.616147278e-03,-1.282374957e-03
-2.392525319e-03,-1.578683383e-03
-2.133611357e-03,-1.884328551e-03
-1.896209549e-03,-2.144339029e-03
-1.666525961e-03,-2.386107808e-03
-1.374475309e-03,-2.559893997e-03
-9.917721618e-04,-2.726076404e-03
-6.459460710e-04,-2.859980799e-03
-3.150911361e-04,-2.905853093e-03
3.646420009e-05,-2.863028320e-03
4.499972856e-04,-2.816429827e-03
7.999149966e-04,-2.799284877e-03
1.110781566e-03,-2.636653138e-03
1.442604815e-03,-2.494460670e-03
1.734712394e-03,-2.280583605e-03
2.075018128e-03,-2.055509016e-03
2.283669077e-03,-1.806174056e-03
2.503161551e-03,-1.451604534e-03
2.684148727e-03,-1.227612258e-03
2.750455402e-03,-8.870313177e-04
2.904775552e-03,-5.212691030e-04
2.871192526e-03,-1.496683981e-04
2.790693194e-03,2.721002093e-04
2.844378585e-03,6.244530086e-04
2.727452898e-03,9.755763458e-04
2.581244800e-03,1.298010699e-03
2.396987053e-03,1.613956178e-03
2.159547294e-03,1.942361821e-03
1.956881955e-03,2.163325669e-03
1.610386651e-03,2.398529788e-03
1.359414076e-03,2.607574686e-03
1.063143602e-03,2.699898323e-03
6.011704099e-04,2.856667619e-03
2.747013932e-04,2.907675924e-03
-6.355840014e-05,2.874653088e-03
-4.367919464e-04,2.851370489e-03
-7.782700122e-04,2.786250319e-03
-1.157417893e-03,2.731155371e-03
-1.524385880e-03,2.534366213e-03
-1.819559839e-03,2.280194312e-03
-2.061200328e-03,2.087421250e-03
-2.287907759e-03,1.764668850e-03
-2.494441811e-03,1.473847660e-03
-2.649578499e-03,1.179043902e-03
-2.820559544e-03,7.806671201e-04
-2.876917133e-03,4.307113995e-04
-2.836660249e-03,8.614797844e-05
-2.952190349e-03,-2.020150860e-04
-2.856017323e-03,-5.919095711e-04
-2.706310945e-03,-9.498634608e-04
-2.623414621e-03,-1.229287824e-03
-2.391984221e-03,-1.693321159e-03
-2.235081745e-03,-1.915381523e-03
-1.944274758e-03,-2.101661405e-03
-1.649029553e-03,-2.395814750e-03
-1.299221069e-03,-2.573488746e-03
-9.777360829e-04,-2.701384015e-03
-6.511721876e-04,-2.766575199e-03
-2.386644046e-04,-2.934285905e-03
6.355840014e-05,-2.883909037e-03
4.485637764e-04,-2.833166858e-03
7.732670056e-04,-2.816078719e-03
1.151821576e-03,-2.645396627e-03
1.457442995e-03,-2.555413172e-03
1.771100680e-03,-2.280341461e-03
2.079275902e-03,-2.085522516e-03
2.223162679e-03,-1.845424529e-03
2.452248242e-03,-1.461202395e-03
2.616332378e-03,-1.233654795e-03
2.762782620e-03,-8.394835168e-04
2.868126146e-03,-4.217686073e-04
2.901054220e-03,-1.173528290e-04
2.904590452e-03,2.578743151e-04
2.834097017e-03,6.308658049e-04
