I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
1.463409571e-04,2.898025792e-03
-2.339794009e-04,2.916172380e-03
-6.121257902e-04,2.852709033e-03
-9.396153037e-04,2.768639941e-03
-1.256083022e-03,2.648201771e-03
-1.588760642e-03,2.444758080e-03
-1.917873626e-03,2.192983171e-03
-2.161631128e-03,1.937434776e-03
-2.406988526e-03,1.661019749e-03
-2.580869710e-03,1.380684087e-03
-2.702442463e-03,1.032365952e-03
-2.843894297e-03,6.585912779e-04
-2.891404089e-03,3.435951076e-04
-2.919836901e-03,-4.224568693e-05
-2.886643168e-03,-4.038450425e-04
-2.769442275e-03,-7.673146320e-04
-2.728307154e-03,-1.135436003e-03
-2.610622207e-03,-1.396751613e-03
-2.336813137e-03,-1.769410796e-03
-2.018916653e-03,-2.071481664e-03
-1.811566297e-03,-2.293637022e-03
-1.524831983e-03,-2.475920133e-03
-1.176124671e-03,-2.627506154e-03
-9.155922453e-04,-2.835919848e-03
-5.178846768e-04,-2.872901503e-03
-9.775367653e-05,-2.902748762e-03
2.880349057e-04,-2.944064094e-03
5.704164505e-04,-2.840827918e-03
9.363068384e-04,-2.739780117e-03
1.299259020e-03,-2.634925302e-03
1.602094155e-03,-2.441240707e-03
1.899817144e-03,-2.228479134e-03
2.122304635e-03,-1.947849058e-03
2.414336428e-03,-1.646964811e-03
2.606791677e-03,-1.387509750e-03
2.727305749e-03,-1.031549531e-03
2.869816031e-03,-6.682034000e-04
2.899644431e-03,-3.128411772e-04
2.888579853e-03,8.561160212e-05
2.895775717e-03,4.154269991e-04
2.767766593e-03,8.476621006e-04
2.632955322e-03,1.133076847e-03
2.515806817e-03,1.422488247e-03
2.332669217e-03,1.813664334e-03
2.122822218e-03,1.984982518e-03
1.816137461e-03,2.229371341e-03
1.463618479e-03,2.490725135e-03
1.204500557e-03,2.657799749e-03
8.561444702e-04,2.809827216e-03
4.403234925e-04,2.892685821e-03
9.293577023e-05,2.871657722e-03
-2.559186833e-04,2.905368805e-03
-6.104122149e-04,2.819833346e-03
-9.810256306e-04,2.756683156e-03
-1.262756879e-03,2.690134337e-03
-1.620240859e-03,2.430864377e-03
-1.913169632e-03,2.198541537e-03
-2.106498228e-03,1.938882517e-03
-2.373443451e-03,1.713181380e-03
-2.525883960e-03,1.329922699e-03
-2.697311342e-03,9.551607654e-04
-2.852001693e-03,6.976946606e-04
-2.910742071e-03,3.183426161e-04
-2.914425684e-03,-7.690613711e-05
-2.830266487e-03,-4.401193873e-04
-2.796996851e-03,-8.075002115e-04
-2.664416563e-03,-1.135920058e-03
-2.435440198e-03,-1.420513610e-03
-2.352097537e-03,-1.757695922e-03
-2.074495889e-03,-2.058281098e-03
-1.776720746e-03,-2.297021449e-03
-1.563323080e-03,-2.482783981e-03
-1.172702294e-03,-2.648686059e-03
-8.318223408e-04,-2.773177810e-03
-4.899740452e-04,-2.860445995e-03
-1.360026363e-04,-2.905088942e-03
2.264084178e-04,-2.854659921e-03
5.605053739e-04,-2.803058363e-03
9.430756909e-04,-2.705679741e-03
1.282374957e-03,-2.591060940e-03
1.585713238e-03,-2.387835411e-03
1.921310206e-03,-2.187182661e-03
2.098276978e-03,-1.998406136e-03
2.352377633e-03,-1.684634597e-03
2.609174466e-03,-1.353461645e-03
2.769442275e-03,-9.936328279e-04
2.854398685e-03,-6.497244467e-04
2.837647684e-03,-2.877168590e-04
2.889320254e-03,4.974073818e-05
2.914311597e-03,3.996584564e-04
2.797965193e-03,7.995969499e-04
2.612297656e-03,1.129564247e-03
2.502957359e-03,1.443516230e-03
2.353588119e-03,1.755389036e-03
2.054303419e-03,1.993702259e-03
1.776549849e-03,2.275969833e-03
1.504525659e-03,2.491204534e-03
1.220026985e-03,2.643459942e-03
8.348317933e-04,2.844340401e-03
4.647975147e-04,2.868126146e-03
1.799049205e-04,2.922513988e-03
-2.721334458e-04,2.905853093e-03
-6.512481486e-04,2.788946498e-03
-9.454347892e-04,2.722506877e-03
-1.292841509e-03,2.606886439e-03
-1.573068090e-03,2.423801227e-03
-1.865935163e-03,2.194934059e-03
-2.181230346e-03,1.952140010e-03
-2.402023412e-03,1.658921712e-03
-2.569416072e-03,1.375923050e-03
-2.763845958e-03,1.035489258e-03
-2.849623561e-03,6.492592511e-04
-2.905088942e-03,2.821015078e-04
-2.952228300e-03,-7.515935431e-05
-2.822567476e-03,-4.175298091e-04
-2.734093461e-03,-7.791054086e-04
-2.699414035e-03,-1.136385254e-03
-2.488750499e-03,-1.487418427e-03
-2.281252993e-03,-1.753846416e-03
-2.075630473e-03,-2.004116541e-03
-1.816621516e-03,-2.246236429e-03
-1.534876064e-03,-2.471012063e-03
-1.150369062e-03,-2.674925840e-03
-8.037266089e-04,-2.788016107e-03
-4.651107884e-04,-2.888038754e-03
-6.654882600e-05,-2.892652526e-03
2.928860486e-04,-2.887037117e-03
6.505029160e-04,-2.842332702e-03
9.428715566e-04,-2.714399481e-03
1.243751030e-03,-2.577281324e-03
1.550606685e-03,-2.367662033e-03
1.870900160e-03,-2.170725958e-03
2.167844679e-03,-1.944388729e-03
2.372812247e-03,-1.676769345e-03
2.603464061e-03,-1.329623745e-03
2.724068472e-03,-9.456198895e-04
2.821337897e-03,-6.538303569e-04
2.923776628e-03,-3.311350010e-04
2.924393630e-03,9.284557746e-05
2.882907400e-03,4.962207167e-04
2.811687998e-03,7.521441439e-04
2.709268127e-03,1.136423321e-03
2.513428684e-03,1.516240533e-03
2.286236966e-03,1.757249818e-03
2.023919718e-03,2.056050114e-03
1.752450829e-03,2.289730590e-03
1.512243762e-03,2.480904106e-03
1.173575758e-03,2.667297842e-03
8.271373808e-04,2.796460409e-03
4.812543339e-04,2.840732923e-03
1.256453252e-04,2.891684184e-03
-2.699404431e-04,2.919314662e-03
-5.883210688e-04,2.853193088e-03
-8.885170100e-04,2.763043623e-03
-1.286039478e-03,2.564992057e-03
-1.580411219e-03,2.401468111e-03
-1.869917614e-03,2.190025989e-03
-2.183556324e-03,1.926446101e-03
-2.357769758e-03,1.697578933e-03
-2.557663247e-03,1.323785284e-03
-2.768307691e-03,9.901392041e-04
-2.845085692e-03,6.287107826e-04
-2.873105463e-03,2.857279906e-04
-2.852447797e-03,-6.160276098e-05
-2.859776840e-03,-4.494561581e-04
-2.780207666e-03,-8.071822231e-04
-2.693181625e-03,-1.179376268e-03
-2.530274680e-03,-1.505232882e-03
-2.281309804e-03,-1.816327218e-03
-2.069250681e-03,-2.015475417e-03
-1.751041040e-03,-2.261150628e-03
-1.494989498e-03,-2.507234225e-03
-1.161955763e-03,-2.666595392e-03
-7.923439844e-04,-2.767301397e-03
-4.966479028e-04,-2.847093623e-03
-1.367668592e-04,-2.995110117e-03
2.649041999e-04,-2.930749441e-03
6.315920036e-04,-2.805052092e-03
9.560151957e-04,-2.742461860e-03
1.333791297e-03,-2.623808570e-03
1.638501417e-03,-2.432411769e-03
1.850389643e-03,-2.173906192e-03
2.166316146e-03,-1.900225296e-03
2.383672632e-03,-1.612992608e-03
2.528713085e-03,-1.348814694e-03
2.749600913e-03,-1.010944019e-03
2.855034778e-03,-6.294370396e-04
2.906802343e-03,-2.845033596e-04
2.929876093e-03,8.715427975e-05
2.900555730e-03,4.559638910e-04
2.795008011e-03,8.002282702e-04
2.690172289e-03,1.134045189e-03
2.546152333e-03,1.462968183e-03
2.307022922e-03,1.773260417e-03
2.062168671e-03,2.028770978e-03
1.794198179e-03,2.293024678e-03
1.507169567e-03,2.530089580e-03
1.148475101e-03,2.676653676e-03
7.989846636e-04,2.770761726e-03
4.455496091e-04,2.821228700e-03
1.135222337e-04,2.871619770e-03
-1.735253463e-04,2.867604140e-03
-5.903858691e-04,2.829203149e-03
-9.566654917e-04,2.753730631e-03
-1.237485441e-03,2.556063468e-03
-1.594376052e-03,2.383169485e-03
-1.925961929e-03,2.188502345e-03
-2.207337180e-03,1.926166122e-03
-2.396445954e-03,1.662695315e-03
-2.520510694e-03,1.376986387e-03
-2.751366701e-03,9.990630206e-04
-2.904642606e-03,6.372074131e-04
-2.901462372e-03,3.019807336e-04
-2.909925766e-03,-9.241837688e-05
-2.832089318e-03,-4.382966436e-04
-2.734278562e-03,-7.782700122e-04
-2.674441552e-03,-1.086587552e-03
-2.524564276e-03,-1.441138098e-03
-2.270985860e-03,-1.770602306e-03
-2.072654199e-03,-2.066146350e-03
-1.845168299e-03,-2.288187854e-03
-1.447422779e-03,-2.457289258e-03
-1.172536169e-03,-2.663467312e-03
-8.761708159e-04,-2.748594619e-03
-4.550145532e-04,-2.837462584e-03
-8.371291915e-05,-2.916974714e-03
2.784940298e-04,-2.905928995e-03
6.146890228e-04,-2.831045073e-03
9.644026286e-04,-2.728459192e-03
1.329979743e-03,-2.598831430e-03
1.666525961e-03,-2.410097513e-03
1.959283836e-03,-2.209886210e-03
2.175149741e-03,-1.956416760e-03
2.369076479e-03,-1.626454294e-03
2.593420213e-03,-1.328546205e-03
